"id","Title","wiki_title","Wet Dredge Cost (Euro)","Start Date","Wet Dredged (m^3)","Dry Dredge Cost (Euro)","Dry Dredged (m^3)","Segment IDs","Mud Volume (m^3)","Average Depth (cm)","State","End Date","Landfill Cost (Euro)","Note","Target Depth (cm)"
"00219SC0018","Job Item 00219SC0018","Job Item 00219SC0018",,,"0.0",,"0.01","MARG","327.74",,"InProgress",,,,"180.0"
"00219SC0017","Job Item 00219SC0017","Job Item 00219SC0017",,,"0.0",,"0.01","BRIA","451.28",,"InProgress",,,,"180.0"
"00219SC0011","Job Item 00219SC0011","Job Item 00219SC0011",,,"0.0",,"0.01","MARG","-32.99","205.0","InProgress",,,,"200.0"
"00219SC0012","Job Item 00219SC0012","Job Item 00219SC0012",,,"0.0",,"0.01","BRIA,CARM,MARG","646.76","141.0","InProgress",,,,"180.0"
"00103SC0102","Job Item 00103SC0102","Job Item 00103SC0102","4602.21",,"78.93","0.0","0.01","MARI3,MARI4","22.56","160.0","Finished","1998-09-30","0.0","somma di quantità in umido 53 e asciutto 25 la data è quella più recente","180.0"
"00103SC0101","Job Item 00103SC0101","Job Item 00103SC0101","2045.43",,"35.1","0.0","0.01","MARI1,MARI2","38.77","88.0","Finished","1998-09-30","0.0","sono state sommate le due quantità di asciutto 11 e umido 24 e la data è quella più recente","180.0"
"00124SC0001","Job Item 00124SC0001","Job Item 00124SC0001","0.0","2000-03-30","0.0","44799.9","388.99","TOLE","1297.57","124.0","Finished","2004-02-09","0.0",,"180.0"
"00219SC0010","Job Item 00219SC0010","Job Item 00219SC0010",,,"0.0",,"0.01","BRIA,CARM,SEBA","228.2","165.0","InProgress",,,,"180.0"
"00219SC0015","Job Item 00219SC0015","Job Item 00219SC0015",,,"0.0",,"0.01","CARM,RAFF1,SEBA","215.71",,"InProgress",,,,"180.0"
"00219SC0016","Job Item 00219SC0016","Job Item 00219SC0016",,,"0.0",,"0.01","BRIA,CARM,MARG","385.33",,"InProgress",,,,"180.0"
"00219SC0013","Job Item 00219SC0013","Job Item 00219SC0013",,,"0.0",,"0.01","NICO1,RAFF2","481.95",,"InProgress",,,,"180.0"
"00103SC0108","Job Item 00103SC0108","Job Item 00103SC0108","3068.14",,"52.62","0.0","0.01","MARI2,MARI3,PIOM1","35.82","118.0","Finished","1998-09-30","0.0","somma di quantità in umido 36 e asciutto 17 la data è quella più recente","180.0"
"00211SC0002","Job Item 00211SC0002","Job Item 00211SC0002","0.0","2004-03-31","0.0","6633.81","78.86","GIUD01","0.0",,"Finished","2006-11-13","875.35",,
"00333SC0003","Job Item 00333SC0003","Job Item 00333SC0003","2969.47",,"71.87","0.0","0.0","PLON1,PLON2","5.85","183.0","Finished","2000-10-23","9279.44","scavo effettuato nell'ambito del risanamento sponda (longitudinale)","200.0"
