Numero Zucchetta,Name of Bridge,Bridge Code,Year Constructed,Crossing River,Segment Code,Number of Islands on the North Side,Number of Islands on the South Side,Northern District,Southern Districts,Private,Civic,Civic Letter,Numero Campate,Arc Style Code,Arc Style,Construction Material Code,Construction Material,Decorations,Handicapped Accessible,Additional Handrail,Number of Steps North,Number of Steps South,Total Number of Steps,Height,Codice Materiale Alzata,Materiale Alzata,Pedata,Codice Materiale Pedata,Material Paving Steps,Minimum Step Width,Superficie Gradino Tipo (Min),Superficie Totale Gradini,Ipotenusa N,Ipotenusa S,Cateto N,Cateto S,Inclination N,Inclination S,Maximum Inclination,Summit Width,Summit Length,Area of Summit,Material Code of Summit,Flooring Material at Summit,Condition of Pavement at Summit,Description of the Condition of Pavement at Summit,Area of Pavement,Codice Tipologia Spalletta,Tipologia spalletta,Codice Materiale Spalletta,Materiale Spalletta,Larghezza Spalletta Est,Larghezza Spalletta Ovest,Larghezza Media Spallette,Altezza Media Spalletta,Width of River,Sporgenza N,Sporgenza S,Effective Lighting,Tide Level,Water Altitude,Freccia N1,Freccia C,Freccia S1,Freccia Minima,Freccia Media,Spessore N2,Spessore N1,Spessore C,Spessore S1,Spessore S2,Spessore Minimo,Photo Number of Arc,Photo Number of Ramp,Numero Foto Punto Quotato,H-N1,H-C,H-S1,SE-N2,SE-N1,SE-C,SE-S1,SE-S2,SI-N2,SI-N1,SI-C,SI-S1,SI-S2,Overall Width,Note:
10,Ponte de l'Olio,OLIO,0,Rio del Fontego dei Tedeschi,TEDE1,71,77,CN,SM,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI A NORD EST,No,No,6,10,16,12.5,2,Pietra d'Istria,48.5,8,Asfalto,2.7,1.31,18.33,2.95,6.9,0,0,0,0,0,10.2,7.4,75.48,8,Asfalto,1,Cattive,93.81,3,Vuoto Decorato,6,Metallo,4,4,4,88.6,6.13,50,20,5.43,-0.13,,0,0,0,2.34,2.4,0.87,0.59,0.49,0.5,0.65,49,C32,C31,,3.92,3.93,3.91,1.75,1.45,1.34,1.37,1.62,0.88,0.86,0.85,0.87,0.97,11,
11,Ponte dei Pignoli,PIGNOL,0,Rio dei Bareteri,BARE1,77,92,SM,SM,No,,,1,6,Sesto Ribassato,15,"Mattoni, Intonaco e Pietra d'Istria",,No,No,12,10,22,15,2,Pietra d'Istria,38.5,3,Trachite,1.45,0.56,11.17,4.25,4.45,0,0,0,0,0,2.43,1.98,4.81,3,Trachite,3,Buone,15.98,3,Vuoto Decorato,6,Metallo,4,4,4,86.8,6.6,20,30,6.1,-0.1,,0,0,0,2.29,2.37,0.4,0.4,0.41,0.51,0.39,39,C20,C22,,3.76,3.75,3.68,1.33,1.33,1.16,1.29,1.34,0.93,0.93,0.75,0.78,0.95,3.03,
12,Ponte dei Bareteri,BARETE,0,Rio dei Bareteri,BARE1,77,92,SM,SM,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,"1 scudo e 2 decorazioni est, 4 decorazioni ovest",No,No,11,11,22,12.5,2,Pietra d'Istria,50,3,Trachite,3.25,1.63,32.5,10.8,8.5,0,0,0,0,0,16.5,8.25,136.13,3,Trachite,3,Buone,168.63,4,Colonnette,2,Pietra d'Istria,28,28,28,98,4.15,50,60,3.05,-0.04,,0,0,0,2.55,2.64,0.99,0.4,0.26,0.43,0.91,26,C21,C23,,4,4.05,3.98,1.98,1.37,1.24,1.39,1.91,0.99,0.97,0.98,0.96,1,17.13,
13,"Ponte Privato, và al civico 4934",BARE_P1,0,Rio dei Bareteri,BARE1,77,92,SM,SM,Yes,4934,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,5 bugne ovest e 6 est,No,No,9,5,14,14,2,Pietra d'Istria,32,2,Pietra d'Istria,1.85,0.59,7.1,3.14,1.6,0,0,0,0,0,3.45,3.02,10.42,3,Trachite,3,Buone,17.52,1,Piena,14,Mattoni e Pietra d'Istria,31,31,31,98,5.96,0,0,5.96,-0.07,,0,0,0,2.04,2.09,0.43,0.47,0.39,0.46,0.33,33,C19,C24,,3.52,3.64,3.52,1.43,1.41,1.41,1.38,1.35,1,0.94,1.02,0.92,1.02,3.62,
14,Ponte de le Pignate,PIGNAT,0,Rio dei Scoacamini,SCOA1,80,91,SM,SM,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,1 scudo N-E e 1scudo N-W,No,No,14,12,26,11,2,Pietra d'Istria,40,8,Asfalto,2.3,0.92,22.08,6.24,5.33,0,0,0,0,0,4.37,3,13.11,8,Asfalto,2,Medie,35.19,3,Vuoto Decorato,6,Metallo,6,6,6,113.9,5.55,0,30,5.25,-0.06,,0,0,0,2.27,2.32,1.43,0.84,0.68,0.81,1.015,68,C,D3,,4.19,4.16,4.18,2.6,1.85,1.68,1.85,2.49,1.17,1.01,1,1.04,1.475,4.98,
15,Ponte Manin,MANIN,0,Rio de S. Salvador,SALV,77,80,SM,SM,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,6 scudi N-W,Yes,No,11,12,23,12,2,Pietra d'Istria,43,8,Asfalto,1.88,0.81,16.98,5.5,7,0,0,0,0,0,3.08,3.8,11.7,8,Asfalto,2,Medie,28.68,3,Vuoto Decorato,6,Metallo,3.5,3.5,3.5,94,3.18,0,0,3.18,-0.12,,0,0,0,2.16,2.23,1.09,0.62,0.45,0.59,1,45,C35,C33,,3.8,3.79,3.76,2.11,1.51,1.32,1.48,2.03,1.02,0.89,0.87,0.89,1.03,3.73,Servoscala per disabili
16,Ponte del Lovo,LOVO,0,Rio de S. Salvador,SALV,77,80,SM,SM,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,7,9,16,11,2,Pietra d'Istria,50,8,Asfalto,2.58,1.29,18.06,3.74,4.52,0,0,0,0,0,4.16,3,12.48,8,Asfalto,2,Medie,30.54,3,Vuoto Decorato,6,Metallo,3,3,3,,2.34,15,15,2.04,-0.1,,0,0,0,2.09,2.19,,0.57,0.33,0.44,0.94,33,D1,C34,,3.64,3.66,3.61,,1.45,1.22,1.38,1.96,,0.88,0.89,0.94,1.02,4.55,
17,Ponte de le Balote,BALOTE,0,Rio de S. Salvador,SALV,77,80,SM,SM,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,3 scudi N-W,No,No,9,11,20,14,2,Pietra d'Istria,46,3,Trachite,1.4,0.64,11.59,5.06,5.93,0,0,0,0,0,3.11,2.57,7.99,3,Trachite,3,Buone,19.58,3,Vuoto Decorato,6,Metallo,3.5,3.5,3.5,92.6,7.18,70,65,5.83,-0.09,,0,0,0,2.15,2.24,0.65,0.56,0.43,0.6,0.78,43,C36,D2,,3.75,3.75,3.73,1.65,1.44,1.31,1.49,1.76,1,0.88,0.88,0.89,0.98,3.87,
18,Ponte dei Fuseri,FUSERI,0,Rio dei Fuseri,FUSE,80,92,SM,SM,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,3 scudi N-E,No,No,12,14,26,12,2,Pietra d'Istria,44,3,Trachite,1.84,0.81,19.43,7.82,6.93,0,0,0,0,0,4.29,5.64,24.2,3,Trachite,3,Buone,43.63,3,Vuoto Decorato,6,Metallo,4,4,4,98,7.52,110,20,6.22,0.12,,0,0,0,2.25,2.43,0.75,0.5,0.55,0.77,1,50,D18,D17,,3.83,3.83,3.85,1.67,1.4,1.46,1.72,2.22,0.92,0.9,0.91,0.95,1.22,4.89,
19,Ponte de le Colonne,COLONNE,0,Rio dei Fuseri,FUSE,80,92,SM,SM,No,,,1,6,Sesto Ribassato,15,"Mattoni, Intonaco e Pietra d'Istria",3 scudi N-E,No,No,12,12,24,14.5,2,Pietra d'Istria,46.5,8,Asfalto,1.2,0.56,12.28,5.62,5.77,0,0,0,0,0,1.42,1.85,2.63,8,Asfalto,2,Medie,14.9,3,Vuoto Decorato,6,Metallo,4,4,4,112.4,5.71,30,15,5.26,0.12,,0,0,0,2.6,2.68,0.51,0.31,0.36,0.31,0.55,31,D16,D19,,4,4.02,3.94,1.66,1.46,1.36,1.46,1.72,1.15,1.15,1,1.15,1.17,2,
