NOV3,
2POZZI,
2SPADE,
3ARCHI,
3PONTI1,
ABAZIA,
ABAZIA2,ABAZI2
ACCADE,
AGNELA,
AGOSTIN,
ALBERO,
ALBO_P1,
ALVISE,
ANA,
ANATOM,
ANCONE,
ANDREA,
ANGELO,
ANTON2,
ANTONIN,ANTONI
ANTONIO,ANTONO
ANZO1_P1,
ANZOLO,
APOSTOl,APOSTO
AQUAVIV,AQUAVI
ARCO,
ARSE1_P1,
ARSE1_P2,
ARSENAL,ARSEN2
ARZANA,ARSENA
ASEO,
AUTOMO,
AVOG_P1,
AVOGAD,
AVOGAR,
BALBI,
BALOTE,
BANDE,
BARBAR,
BARCAR,
BARE_P1,
BARETE,
BARNAB,
BASEGI,
BATE_P1,
BATELO,
BECA1_P1,
BECARI,
BELLI,
BERGAM,
BERNAR,
BIAGIO,
BIENNAL,
BOLDO,
BONAVE,
BORGO,
BORGOL,
BRAZZO,
BRIATI,
CABALA,
CADIO,
CADONA,
CALCINA,
CALEGH,
CANAL,
CANAL2,
CANO_P1,
CANO_P2,
CANONI,
CANZIAN,CANZIA
CAPPEL,
CAPPEL2,
CAPUZI,
CARMINI,CARMIN
CASS1_P1,
CATERIN,CATERI
CAVAGN,
CAVALET,CAVALT
CAVALLI,
CAVALLO,CAVALO
CAVBON,
CAVENEL,
CAVOSP,
CAVOSP2,CAVOS2
CAZZIOL,
CELE_P1,
CERARIA,
CFELZI,CONSAF
CHIA_P1,
CHIA_P2,
CHIARA,
CHIESA,
CHIODO_P1,CHIODO
CINI_P1,
COLOMB,
COLONNE,
COMENDA,COMEND
CONVERT,CONVER
CORONA,
CORREN,
CORRER,
CORTEL,
CORTES,
COSMO,
COSSET,
CREA,
CRIST2,
CRIST3,
CRISTO,
CRISTOF,CRSTFR
CRISTOF2,
CROC_P1,
CROZE,
CROZE2,
CTENOVA,CORTEN
DAI,
DANIEL,
DIAVOL,
DIEDO,
DIPORTO,
DOMENE,
DONA,
DONESTA,
DPIETA,
DUCA_P1,
DUCA_P2,
DUCA_P3,
DUCA_P4,
ELENA,
ENEL_P1,GIOB_P2
ENEL_P2,GIOB_P3
ERBE,
ERBE_P1,
ERIZZO,
EUFE_P1,
EUFEMIA,
FAVA,
FELICE,
FELTRINA,
FENICE,
FERAI,
FONTEG,
FORM_P1,
FORM_P2,
FORM_P3,
FORM_P4,
FORMAG,
FORNER,
FORNER2,
FORNO,
FORNO2,
FOSCA,
FOSCARI,
FOSCRNI,
FRANCE,
FRAR3_P1,
FRAR5_P1,
FRAR5_P2,
FRAR5_P3,
FRARI,
FRATI,
FRES_P1,
FRES_P2,
FRESCA,
FURATO,
FUSERI,
GAFFAR,
GALE1_P1,
GALE2_P1,
GARIBAL,
GCROCE,
GERAR,
GERO_P1,
GESUIT,
GHETON,
GHETONS,
GHETOV,
GIARDINI,
GIOACHIN,
GIOB_P1,
GIORGIO,
GIOVAN,
