Codice_Ponte,Numero_Zucchetta,Nome_Ponte,Segmento,Nome_Rio,Isola_Nord,Isola_Sud,Sestiere_Nord,Sestiere_Sud
CHIA_P2,0,Ponte Privato della Caserma Santa Chiara,CHIA01,Canal de S. Chiara,0,0,SC,SC
TERE_P1,0,Ponte dei Morti-Privato v‡ in,NICO01,Rio de S. Nicol√≤ dei Mendicoli,0,0,DD,DD
ANATOM,0,Ponte de l'Anatomia,DEGO,Rio de S. Zan Degol‡,0,0,SC,SC
AGOSTIN,0,Ponte S.Agostin,AGOS,Rio de S. Agostin,0,0,SP,SP
TERESE,0,Ponte de le Terese,ARZE,Rio de le Terese,0,0,DD,DD
RAFAEL,0,Ponte de l'Anzolo Rafael,RAFF,Rio de l'Anzolo Rafael,0,0,DD,DD
MARITF,0,Ponte del Racc. Ferr. della Maritti,CHIA,Rio de l'Arzere e de S. Marta,0,0,SC,SC
CHIA_P1,0,Ponte Privato-Passerella Marittima,CHIA01,Canal de S. Chiara,0,0,SC,SC
LIBERT,0,Ponte della Libert‡-Rampa P.Roma,CHIA01,Canal de S. Chiara,0,0,SC,SC
AUTOMO,0,Ponte Automobilistico del Tronchetto,,,0,0,SC,SC
ACCADE,3,Ponte dell'Accademia,GRAN34,Canal Grande,83,52,SM,DD
RIALTO,4,Ponte di Rialto,GRAN19,Canal Grande,29,77,SP,SM
SCALZI,5,Ponte degli Scalzi,GRAN4,Canal Grande,20,33,CN,SC
TRAVER,6,Ponte delle Traversine,GRAN1,Canal Grande,71,77,CN,SC
OLIO,10,Ponte de l'Olio,TEDE1,Rio del Fontego dei Tedeschi,71,77,CN,SM
PIGNOL,11,Ponte dei Pignoli,BARE,Rio dei Bareteri,77,92,SM,SM
BARETE,12,Ponte dei Bareteri,BARE,Rio dei Bareteri,77,92,SM,SM
BARE_P1,13,"Ponte Privato, v‡ al civico 49",BARE,Rio dei Bareteri,77,92,SM,SM
PIGNAT,14,Ponte de le Pignate,SCOA1,Rio dei Scoacamini,80,91,SM,SM
MANIN,15,Ponte Manin,SALV,Rio de S. Salvador,77,80,SM,SM
LOVO,16,Ponte del Lovo,SALV,Rio de S. Salvador,77,80,SM,SM
BALOTE,17,Ponte de le Balote,SALV,Rio de S. Salvador,77,80,SM,SM
FUSERI,18,Ponte dei Fuseri,FUSE,Rio dei Fuseri,80,92,SM,SM
COLONNE,19,Ponte de le Colonne,FUSE,Rio dei Fuseri,80,92,SM,SM
GOLDO,20,Ponte Carlo Goldoni,FUSE,Rio dei Fuseri,80,92,SM,SM
FERAI,21,Ponte dei Ferai,FERA,Rio dei Ferali,92,91,SM,SM
CAVALET,23,Ponte del Cavaletto,PROC2,Rio de le Procuratie,91,92,SM,SM
PROC2_P1,24,Ponte Privato - Passerella Aerea,PROC2,Rio de le Procuratie,91,92,SM,SM
DAI,25,Ponte dei Dai,PROC2,Rio de le Procuratie,91,92,SM,SM
TRON,26,Ponte Tron o de la Piavola,ORSE,Rio e Bacino Orseolo,91,92,SM,SM
PITTOR,27,Ponte de l'Accadamia dei Pittori,BACI2,Rio de la Luna o dei Giardinetti,90,92,SM,SM
REALE,28,Ponte Privato Apribile del Palazzo,GIAR,Rio de la Luna o dei Giardinetti,92,90,SM,SM
ZECA_P1,29,Edificio Privato (Compagnia della V,ZECA,Rio de la Luna o dei Giardinetti,92,90,SM,SM
ZECA,30,Ponte piano della Zecca,ZECA,Rio de la Luna o dei Giardinetti,92,90,SM,SM
MOISE,31,Ponte S. MoisË,MOIS,Rio de S. MoisË,92,89,SM,SM
PISCIN,32,Ponte de Piscina,BARC2,Rio dei Barcaroli,92,88,SM,SM
BARCAR,33,Ponte dei Barcaroli,BARC2,Rio dei Barcaroli,92,88,SM,SM
CORTES,34,Ponte de la Cortesia,LUCA,Rio de S. Luca,80,81,SM,SM
PATERN,35,Ponte S. Paternian,LUCA,Rio de S. Luca,80,81,SM,SM
TEATRO,36,Ponte del Teatro,LUCA,Rio de S. Luca,80,81,SM,SM
VESTE,37,Ponte de la Veste,VEST3,Rio de la Veste,88,89,SM,SM
ALBO_P1,38,"Ponte Privato, v‡ al civico 24",ALBO,Rio de l'Alboro o de le Ostreghe,89,87,SM,SM
OSTREG,39,Ponte de le Ostreghe,ALBO,Rio de l'Alboro o de le Ostreghe,89,87,SM,SM
FENICE,40,Ponte de la Fenice,VEST2,Rio de la Veste,88,87,SM,SM
BARBAR,41,Ponte Duodo o Barbarigo,ZOBE,Rio de S.M. Zobenigo,86,87,SM,SM
FELTRINA,42,Ponte de la Feltrina,ZOBE,Rio de S.M. Zobenigo,86,87,SM,SM
STORT2,43,Ponte Storto,ZOBE,Rio de S.M. Zobenigo,86,87,SM,SM
CALEGH,44,Ponte Storto (dei Calegheri),VERO2,Rio Menuo o de la Verona,81,86,SM,SM
CRISTOF,45,Ponte S. Cristoforo,VERO1,Rio Menuo o de la Verona,88,86,SM,SM
