"!!id","!!type","materiale del manufatto","dimensioni alzata","spessore minimo","numero rampe","stile dell'arco","zoom","nome del ponte","materiale spallette","luce effettiva","decorazioni","larghezza minima gradini","superficie calpestabile rampe","superficie sommità","ID del segmento","numero campate","accessibile handicappati","nome del rio","ragione giuridica","n° gradini nord","materiale pav sommità","larghezza media spallette","ID","materiale alzata","intonaco arco","corrimano","anno di costruzione","Y","X","note","freccia","tipologia spallette","larghezza navigabile","franco","dimensioni pedata","lettera civico","intonaco spallette","civico","altezza media spallette","rapporto luce/freccia","n° zucchetta","materiale pedata","n° gradini sud","foto","data ultimo restauro","jobs","jobItems"
"RIALTO","ponti","pietra calcarea","","0","6","Sesto Ribassato","84.9785142656548","Ponte de Rialto","pietra calcarea","34.3","Multiple","0","","0","GRAN18","1","no","Canal Grande","pubblica","0","trachite","0","RIALTO","pietra calcarea","no","no","1591","5035086.20081619","2311639.26103042","Non rilevato","0","colonnette","34.3","0","","","no","0","0","","4","trachite","0","004","","[232/1, 00232, 00517, PP523]","[]"
"ACCADE","ponti","legno e metallo","0.14","1.6","2","Sesto Ribassato","105.863102073301","Ponte de l'Accademia","legno","51","","4.8","999","71","GRAN33","1","no","Canal Grande","pubblica","52","legno","0.3","ACCADE","pietra calcarea","no","no","1933","5034396.64393109","2311069.7392117","Dati dedotti da progetto cartaceo 1984","7","vuoto geometrico","49.9","8.5","0.49","","no","0","1.1","7.29","3","trachite e legno","52","003","","[00302, 232/1, 00313, 00232, 00517]","[00302PT0045]"
"SCUOE2","ponti","metallo","0.16","0.17","2","Sesto Ribassato","49.9999999997407","Ponte de le Scuole","metallo","4","","2.4","11","4.1","DUCA01","1","no","Rio del Duca e de S. Vidal","pubblica","4","conglomerato bituminoso","0.04","SCUOE2","metallo e pietra d'Istria","no","no","1895","5034536.54994488","2311081.72957779","I primi tre gradini sono in asfalto e l'alzata e' in pietra d'Istria.","0.8","vuoto geometrico","4","2.2","0.38","","no","0","0.95","5","60","conglomerato bituminoso","7","060","","[00003, 00108, 00232]","[00108PT0002]"
"SAMUEL","ponti","metallo","0.15","0.18","2","Piano","49.9999999997483","Ponte de la Piscina S. Samuele","metallo","10.8","","1.3","5.6","18.8","GARZ01","1","no","Rio de Ca' Garzoni","pubblica","2","conglomerato bituminoso","0.06","SAMUEL","pietra calcarea","no","no","1970","5034732.23642569","2311177.70745775","Detto anche ponte de Ca' Garzoni.","0","vuoto decorato","4.2","2.3","0.35","","no","0","1.02","","57","trachite","9","057","","[00003, 00108, 00232]","[]"
"PESTRI","ponti","metallo","0.13","0.16","2","Piano","49.999999999761","Ponte del Pestrin","metallo","6.6","","2","24.6","23.6","GARZ01","1","no","Rio de Ca' Garzoni","pubblica","6","conglomerato bituminoso","0.04","PESTRI","pietra calcarea","no","no","1920","5034734.51603522","2311199.99701955","Presenza di una terza rampa di 9 gradini sul lato Nord.","0","vuoto decorato","6.6","2.4","0.44","","no","0","0.87","","56","trachite","7","056","","[00003, 00108, 00232]","[00108PT0005]"
"VITTOR","ponti","metallo","0.13","0.23","2","Piano","50.0000000003549","Ponte Vitturi","metallo","4.2","","1.2","10.2","9.7","DUCA01","1","no","Rio del Duca e de S. Vidal","pubblica","7","conglomerato bituminoso","0.04","VITTOR","pietra calcarea","no","si","0","5034499.7362507","2311116.26479233","","0","vuoto geometrico","4.2","2.3","0.44","","no","0","0.9","","65","conglomerato bituminoso","7","065","","[00003, 00108, 00232]","[00108PT0001]"
"MOISE","ponti","muratura e pietra calcarea","0.13","0.42","2","Sesto Ribassato","49.9999999998645","Ponte S. Moisè","metallo e pietra calcarea","8.8","5 teste e 3 scudi","5","53.5","12","MOIS01","1","no","Rio de S. Moisè","pubblica","11","conglomerato bituminoso","0.04","MOISE","pietra calcarea","si","no","1880","5034534.55028739","2311594.65337861","2 teste e 3 scudi su entrambi i lati.","2.3","vuoto geometrico","8.8","2.3","0.5","","no","0","0.9","3.83","31","conglomerato bituminoso","9","031","","[00099, 00232]","[00099PT0011]"
"PISCIN","ponti","muratura e pietra calcarea","0.12","0.5","2","Policentrico","50.000000000065","Ponte de Piscina","metallo","6.7","","3","29.7","8.7","BARC02","1","no","Rio dei Barcaroli","pubblica","11","trachite","0.04","PISCIN","pietra calcarea","no","no","1842","5034628.86413235","2311547.06438073","","2.4","vuoto geometrico","6.7","2.4","0.5","","no","0","1","2.79","32","trachite","11","032","","[00099, 00232]","[]"
"BARCAR","ponti","muratura e pietra calcarea","0.13","0.5","2","Sesto Ribassato","50.0000000001865","Ponte dei Barcaroli","metallo","6.5","","2","19.6","8.9","BARC02","1","no","Rio dei Barcaroli","pubblica","12","trachite","0.04","BARCAR","pietra calcarea","no","no","1500","5034662.40838655","2311538.11722031","","2.4","vuoto decorato","6.5","2.4","0.5","","no","0","0.93","2.71","33","trachite","11","033","","[00099, 00232]","[00099PT0002]"
"CORTES","ponti","muratura e pietra calcarea","0.12","0.43","2","Sesto Ribassato","49.9999999999594","Ponte de la Cortesia","metallo","8.5","2 scudi, 1 per lato","3","36.1","7.5","LUCA01","1","no","Rio de S. Luca","pubblica","14","trachite","0.04","CORTES","pietra calcarea","no","no","1700","5034770.65984413","2311470.19301731","","2.9","vuoto geometrico","8.5","2.9","0.49","","no","0","0.9","2.93","34","trachite","13","034","","[00099, 00232]","[00099PT0010]"
"PATERN","ponti","muratura e pietra calcarea","0.12","0.46","2","Sesto Ribassato","50.0000000002777","Ponte S. Paternian","metallo","6.7","","1","16.9","14.9","LUCA01","1","no","Rio de S. Luca","pubblica","14","trachite","0.04","PATERN","pietra calcarea","no","no","1746","5034786.60711252","2311464.56084168","","2.6","vuoto geometrico","6.7","2.6","0.43","","no","0","0.88","2.58","35","trachite","14","035","1/1/1995 1:01:00 AM","[00099, 00232]","[00099PT0005]"
"TEATRO","ponti","metallo","0.15","0.23","2","Sesto Ribassato","49.9999999999243","Ponte del Teatro","metallo","7.8","","5","47.7","13.6","LUCA01","1","si","Rio de S. Luca","pubblica","11","conglomerato bituminoso","0.035","TEATRO","metallo","no","no","1809","5034823.32082381","2311449.28057602","Primi due scalini in trachite e pietra d'istria. Servoscala per disabili.","2.6","vuoto decorato","7.8","2.6","0.46","","no","0","0.95","3","36","conglomerato bituminoso","9","036","","[00099, 00232]","[]"
"FUSERI","ponti","muratura e pietra calcarea","0.148","0.52","2","Sesto Ribassato","50.0000000003669","Ponte dei Fuseri","metallo e pietra calcarea","8.3","3 scudi n-e","1.95","48","33.4","FUSE01","1","no","Rio dei Fuseri","pubblica","13","conglomerato bituminoso","0.03","FUSERI","pietra d'Istria e rosso di Verona","no","no","1755","5034713.10970191","2311584.20540411","","1.9","vuoto decorato","8.3","2.71","0.5","","no","0","1.23","4.37","18","conglomerato bituminoso","11","018","","[00232]","[]"
"PIGNAT","ponti","muratura e pietra calcarea","0.13","0.6","2","Sesto Ribassato","50.0000000000375","Ponte de le Pignate","metallo","5.6","1 scudo n-e e 1scudo n-w","2.18","23.9","10","SCOA01","1","no","Rio dei Scoacamini","pubblica","13","conglomerato bituminoso","0.1","PIGNAT","pietra d'Istria e rosso di Verona","no","no","1933","5034799.18495805","2311681.35424889","","1.9","vuoto decorato","5.6","2.6","0.44","","no","0","1.05","2.95","14","conglomerato bituminoso","11","014","","[00232]","[]"
"GOLDO","ponti","muratura e pietra calcarea","0.11","0.49","2","Sesto Ribassato","50.0000000001246","Ponte Carlo Goldoni","metallo","12.3","1 scudo n-e e 1 scudo n-w","3","34.4","14.7","FUSE01","1","si","Rio dei Fuseri","pubblica","14","trachite","0.04","GOLDO","pietra calcarea","no","no","1909","5034734.98595472","2311631.7861557","Servoscala per disabili","2.8","vuoto decorato","12.3","2.8","0.485","","no","0","0.96","4.39","20","trachite","14","020","","[00232]","[]"
"VESTE","ponti","muratura e pietra calcarea","0.12","0.41","2","Sesto Ribassato","50.0000000001903","Ponte de la Veste","metallo","5.2","tre scudi ad ovest","2","15","6","VEST03","1","no","Rio de la Veste","pubblica","9","conglomerato bituminoso","0.07","VESTE","pietra calcarea","si","no","1750","5034576.72306361","2311498.263187","","2.2","vuoto decorato","5.2","2.2","0.5","","no","0","0.92","2.36","37","conglomerato bituminoso","11","037","","[00099, 00232]","[]"
"OSTREG","ponti","muratura e pietra calcarea","0.15","0.51","2","Sesto Ribassato","49.9999999999392","Ponte de le Ostreghe","metallo","6.8","tre scudi ad est","2","21","6.2","ALBO01","1","no","Rio de l'Alboro o de le Ostreghe","pubblica","9","trachite","0.04","OSTREG","pietra calcarea","si","no","1860","5034474.80052195","2311431.17185342","","1.6","vuoto geometrico","6.1","2.1","0.49","","no","0","0.93","4.25","39","trachite","10","039","","[00099, 00232]","[]"
"FENICE","ponti","muratura e pietra calcarea","0.99","0","2","Policentrico","49.999999999647","Ponte de la Fenice","pietra calcarea","9.9","","0","0","0","VEST02","1","no","Rio de la Veste","pubblica","9","non rilevato","0","FENICE","non rilevato","no","no","1792","5034557.04643402","2311418.84373836","Ponte chiuso, dati non rilevabili. Conferma.","0","colonnette","9.9","0","","","no","0","0","","40","non rilevato","10","040","","[00099, 00232]","[00099PT0004]"
"STORT2","ponti","muratura e pietra calcarea","0.14","0.24","2","Sesto Ribassato","50.000000000061","Ponte Storto","muratura","5.3","","2","19.3","3.5","ZOBE01","1","no","Rio de S.M.Zobenigo","pubblica","12","trachite","0.35","STORT2","pietra calcarea","no","no","1767","5034559.22606068","2311371.98040883","","2.5","pieno","5.3","2.5","0.46","","no","0","1.01","2.12","43","trachite","11","043","1/1/1996 1:01:00 AM","[00099, 00232]","[00099PT0006]"
"BARBAR","ponti","muratura e pietra calcarea","0.12","0.42","2","Sesto Ribassato","49.999999999865","Ponte Duodo o Barbarigo","metallo","5.8","","3","22.8","5.8","ZOBE01","1","no","Rio de S.M.Zobenigo","pubblica","5","trachite","0.04","BARBAR","pietra calcarea","si","no","0","5034478.26992767","2311355.91675131","I 14 scalini a sud sono divisi in due rampe una da 9 ed una da 5 scalini. La seconda rampa nord e' di 4.23 m.","2.6","vuoto decorato","5.8","2.6","0.455","","no","0","0.95","2.23","41","trachite","14","041","1/1/1996 1:01:00 AM","[00099, 00232]","[00099PT0009, 00099PT0012]"
"FELTRINA","ponti","muratura e pietra calcarea","0.12","0.47","2","a semiarco","50.0000000002899","Ponte de la Feltrina","metallo","5.3","","3","33.5","13.8","ZOBE01","1","no","Rio de S.M.Zobenigo","pubblica","14","trachite","0.04","FELTRINA","pietra calcarea","si","no","1500","5034483.0091159","2311361.82929878","A sud e' presente una seconda rampa di 4.3 m.","2.8","vuoto decorato","5.3","2.8","0.45","","no","0","0.95","1.89","42","trachite","15","042","1/1/1996 1:01:00 AM","[00099, 00232]","[00099PT0009, 00099PT0012]"
"CRISTOF","ponti","muratura e pietra calcarea","0.14","0","2","A tutto Sesto","49.999999999907","Ponte S. Cristoforo","metallo","3.3","tre scudi e quattro bugne ad ovest","2","12","5.1","VEST01","1","no","Rio de la Veste","pubblica","8","trachite","0.04","CRISTOF","pietra calcarea","si","no","1792","5034597.7394637","2311387.77194075","Misure interne, esterne ed altezze non rilevabili. Conferma.","0","vuoto decorato","3.3","0","0.465","","no","0","0","","45","trachite","4","045","","[00099, 00232]","[00099PT0003]"
"CALEGH","ponti","muratura e pietra calcarea","0.14","0.47","2","Sesto Ribassato","50.0000000001226","Ponte Storto (dei Calegheri)","metallo","5.6","tre scudi e sei bugne a ovest, cinque bugne a est","2","18.2","4.2","VERO02","1","no","Rio Menuo o de la Verona","pubblica","8","trachite","0.04","CALEGH","pietra calcarea","si","no","1779","5034601.15887799","2311370.24870034","Non rilevabili SI-S2 e SE-S2","1.5","vuoto decorato","5.1","2.1","0.44","","no","0","0.92","3.73","44","trachite","8","044","1/1/1996 1:01:00 AM","[00099, 00232]","[00099PT0008]"
"MALVAV","ponti","muratura e pietra calcarea","0.13","0.39","2","Sesto Ribassato","49.999999999677","Ponte de la Malvasia Vechia","metallo","5","sei bugne a est e a ovest","1","12.1","3.6","VERO01","1","no","Rio Menuo o de la Verona","pubblica","9","conglomerato bituminoso","0.04","MALVAV","pietra calcarea","si","no","1800","5034655.02965046","2311404.58600528","","2.3","vuoto decorato","5","2.3","0.46","","no","0","0.93","2.17","46","conglomerato bituminoso","12","046","","[00099, 00232]","[]"
"VERONA","ponti","muratura e pietra calcarea","0.14","0.41","2","Sesto Ribassato","50.0000000000898","Ponte de la Verona","metallo","4.9","","2","12.9","7.5","VERO01","1","no","Rio Menuo o de la Verona","pubblica","10","trachite","0.03","VERONA","pietra calcarea","si","no","1864","5034685.18448522","2311435.79798877","","2.3","vuoto decorato","4.9","2.3","0.41","","no","0","0.92","2.13","47","trachite","10","047","1/1/1995 1:01:00 AM","[00099, 00232]","[00099PT0007]"
"FRATI","ponti","muratura e pietra calcarea","0.12","0.5","2","Sesto Ribassato","49.9999999997916","Ponte dei Frati","metallo","7","","1.3","108","58","ANZO01","1","si","Rio de S. Anzolo","pubblica","8","trachite","0.04","FRATI","pietra calcarea","si","si","1876","5034666.54767753","2311283.78697056","piccola rampa di 6 gradini sulla fondamenta lato Nord; ingresso con 8 gradini all'Intendenza di Finanza, Sm3540","1.2","vuoto decorato","7","2.3","0.47","","no","0","0.92","5.83","54","trachite","12","054","","[00003, 00108, 00232]","[]"
"ANZO1_P1","ponti","muratura e pietra calcarea","0.16","0.5","2","Sesto Ribassato","50.0000000001618","Ponte Privato va al civico 3823","metallo e pietra calcarea","5.4","","4.4","25","9.9","ANZO01","1","no","Rio de S. Anzolo","privata","9","trachite","0.04","ANZO1_P1","pietra calcarea","no","no","1700","5034683.63475068","2311271.94538315","","1.6","vuoto decorato","5.4","2.3","0.31","","no","3823","0.9","3.38","55","pietra calcarea","8","055","","[00003, 00108, 00232]","[]"
"MICHIEL","ponti","muratura e pietra calcarea","0.125","0.35","2","Sesto Ribassato","50.0000000003303","Ponte Michiel","metallo","5.7","","2","19.7","9.6","MICH01","1","no","Rio de Ca' Michiel","pubblica","12","trachite","0.04","MICHIEL","pietra calcarea","no","no","1700","5034786.72709197","2311303.09139675","HS1 non rilevabile.","0","vuoto decorato","5.7","0","0.455","","no","0","0.98","","59","trachite","12","059","","[00232]","[]"
"ALBERO","ponti","muratura e pietra calcarea","0.14","0.43","2","A tutto Sesto","50.0000000001781","Ponte de l'Albero","muratura","3.9","tre scudi ad ovest","2","35.3","4.9","CORN01","1","no","Rio de Ca' Corner","pubblica","9","trachite","0.26","ALBERO","pietra calcarea","no","no","1950","5034760.41159955","2311272.71228257","Presenza di due rampe di 4 (Ovest) e 3 (Est) gradini, sul lato Sud.","1.6","pieno","3.9","2.3","0.48","","no","0","0.83","2.44","58","trachite","8","058","","[00108, 00232]","[00108PT0006]"
"MALVAV2","ponti","metallo","0.13","0.18","2","Sesto Ribassato","50.0000000000325","Ponte de la Malvasia Vechia","metallo","5.8","","2","12.8","6.6","MAUR01","1","no","Rio de S. Maurizio e rio Malatin","pubblica","5","conglomerato bituminoso","0.065","MALVAV2","metallo","no","no","1858","5034543.60873577","2311349.30327419","Scritta: Fonderia Collalto, spese civiche 1853.","2","vuoto decorato","5.8","2","0.44","","no","0","0.98","2.9","49","conglomerato bituminoso","8","049","","[00099, 00232]","[00099PT0001]"
"PITTOR","ponti","muratura e pietra calcarea","0.12","0.46","2","Sesto Ribassato","50.0000000000366","Ponte de l'Accademia dei Pittori","pietra calcarea","7.7","10 formelle, 5 per lato","2","21.8","7","LUNA01","1","no","Rio de la Luna o dei Giardinetti","pubblica","8","trachite","0.21","PITTOR","pietra calcarea","si","no","1933","5034461.9927158","2311750.39169316","","2.4","colonnette","7.7","2.4","0.44","","no","0","0.88","3.21","27","trachite","12","027","","[00006, 00232]","[]"
"TRON","ponti","muratura e pietra calcarea","0.13","0.39","2","Sesto Ribassato","50.0000000000677","Ponte Tron o de la Piavola","pietra calcarea","5.8","1 scudo n-e e 1 scudo n-w","4","30.6","7.2","ORSE01","1","no","Rio e Bacino Orseolo","pubblica","9","trachite","0.29","TRON","pietra calcarea","no","no","1897","5034701.79164058","2311663.43518946","","2.3","colonnette","5.8","2.3","0.415","","no","0","0.96","2.52","26","trachite","10","026","","[00232]","[]"
"DAI","ponti","muratura e pietra calcarea","0.12","0.34","2","Sesto Ribassato","50.0000000000355","Ponte dei Dai","metallo","6.3","","3","23.5","16.3","PROC01","1","no","Rio de le Procuratie","pubblica","10","conglomerato bituminoso","0.035","DAI","pietra calcarea","no","no","1869","5034688.75387382","2311775.94676222","","2.3","vuoto decorato","6.3","2.3","0.4","","no","0","1.04","2.74","25","conglomerato bituminoso","12","025","","[00232]","[]"
"FERAI","ponti","muratura e pietra calcarea","0.165","0.4","2","Sesto Ribassato","49.9999999999486","Ponte dei Ferai","metallo e pietra calcarea","4.5","","2.2","26.3","12.5","FERA02","1","no","Rio dei Ferali","pubblica","9","conglomerato bituminoso","0.1","FERAI","pietra d'Istria e rosso di Verona","no","no","1350","5034789.25665867","2311809.89649428","Data""1876"" scolpita in chiave arco Ovest.","1.3","vuoto decorato","4.5","2.3","0.44","","no","0","0.9","3.46","21","conglomerato bituminoso","9","021","","[00232]","[]"
"BALOTE","ponti","muratura e pietra calcarea","0.14","0.43","2","Sesto Ribassato","49.9999999997875","Ponte de le Balote","metallo","6.8","3 scudi n-w","1","12.9","8","SALV01","1","no","Rio de S. Salvador","pubblica","9","trachite","0.035","BALOTE","pietra calcarea","no","no","1725","5034846.53684714","2311689.90559018","","2.2","vuoto decorato","6.8","2.2","0.46","","no","0","0.93","3.09","17","trachite","11","017","","[00232]","[]"
"LOVO","ponti","muratura e pietra calcarea","0.11","0.33","2","Sesto Ribassato","50.0000000001356","Ponte del Lovo","metallo","3.3","","3","20.6","12.5","SALV01","1","no","Rio de S. Salvador","pubblica","7","conglomerato bituminoso","0.03","LOVO","pietra calcarea","no","no","1769","5034920.56416698","2311627.00334175","","2.2","vuoto decorato","3.3","2.2","0.5","","no","0","0.93","1.5","16","conglomerato bituminoso","9","016","","[00392, 00232]","[00392PT0001]"
"BARETE","ponti","muratura e pietra calcarea","0.125","0.26","2","Sesto Ribassato","50.0000000003162","Ponte dei Bareteri","pietra calcarea","5.2","1 scudo e 2 decorazioni est, 4 decorazioni ovest","3","35.8","136.1","BARE01","1","no","Rio dei Bareteri","pubblica","11","trachite","0.28","BARETE","pietra calcarea","no","no","1509","5034866.7833791","2311767.0985565","","2.6","colonnette","5.2","2.6","0.5","","no","0","0.98","2","12","trachite","11","012","","[00232]","[]"
"PIGNOL","ponti","muratura e pietra calcarea","0.15","0.39","2","Sesto Ribassato","49.9999999997508","Ponte dei Pignoli","metallo","6.5","","1","12.3","4.8","BARE01","1","no","Rio dei Bareteri","pubblica","12","trachite","0.04","PIGNOL","pietra calcarea","si","no","1767","5034850.51616552","2311754.16022041","","2.4","vuoto decorato","6.5","2.4","0.385","","no","0","0.87","2.71","11","trachite","10","011","","[00232]","[]"
"BARE1_P1","ponti","muratura e pietra calcarea","0.14","0.33","2","Sesto Ribassato","50.0000000000776","Ponte Privato, va al civico 4934","muratura","7.1","5 bugne ovest e 6 est","2","8.3","10.4","BARE01","1","no","Rio dei Bareteri","privata","9","trachite","0.31","BARE1_P1","pietra calcarea","no","no","1690","5034892.06904791","2311787.02969628","","2.1","pieno","7.1","2.1","0.32","","no","4934","0.98","3.38","13","pietra calcarea","5","013","","[00232]","[]"
"OLIO","ponti","muratura e pietra calcarea","0.125","0.49","2","Sesto Ribassato","50.0000000000357","Ponte de l'Olio","metallo","6.4","tre scudi a nord est","3","21","75.5","TEDE01","1","no","Rio del Fontego dei Tedeschi","pubblica","6","conglomerato bituminoso","0.04","OLIO","pietra calcarea","no","no","1690","5035128.60853101","2311730.68320122","","2.4","vuoto decorato","6.4","2.4","0.485","","no","0","0.89","2.67","10","conglomerato bituminoso","10","010","","[00103, 00232]","[00103PT0012]"
"ELENA","ponti","legno","0","0.34","2","a cavallette","50.0000000002043","Ponte de S.Elena (Chiesa)","legno","15.4","","0","0","39.8","ELEN01","1","si","Rio de S. Elena","pubblica","0","legno","0.14","ELENA","non rilevato","no","no","0","5033751.73437613","2313747.52158644","Ponte a rampe oblique senza scalini.","0.35","vuoto geometrico","5.7","2.25","0","","no","0","0.93","44","177","non rilevato","0","177","","[00003, 00196, 00232, 00197, 00469, 00445]","[]"
"POMPIERI","ponti","muratura e pietra calcarea","0.13","0.52","2","Sesto Ribassato","50.0000000002268","Ponte dei Pompieri (S.Elena)","muratura","13.9","tre scudi ad ovest, tre scudi ad ovest","4","53.7","15.6","GIAR03","1","no","Rio dei Giardini","pubblica","15","trachite","0.38","POMPIERI","pietra calcarea","no","no","0","5033869.44421358","2313408.00777301","Presenza di vegetazione esterna sul lato est, ed interna sul lato ovest.","3.5","pieno","13.9","3.5","0.415","","si","0","0.88","3.97","171","trachite","15","171","","[00003, 00196, 00413, 00421, 00232, 00197, 00169, 00469, 00386]","[]"
"PALUDO","ponti","metallo","0.14","0.33","2","Sesto Ribassato","50.0000000001483","Ponte del Paludo (S.Elena)","metallo","13.4","","3","20.1","36.2","GIAR03","1","no","Rio dei Giardini","pubblica","10","legno","0.04","PALUDO","pietra calcarea","no","no","0","5034158.87463697","2313456.72650426","Tubature su entrambi i lati, vegetazione sulle sponde ad est, sul lato nord la sommita' e' preceduta da una piattaforma in trachite.","2.8","vuoto decorato","13.4","2.8","0.4","","no","0","0.86","4.79","173","trachite","10","173","","[00003, 00160, 00196, 00413, 00232, 00197, 00169, 00469, 00218]","[]"
"ISEP1_P1","ponti","metallo","0.14","0.24","2","a cavallette","50.0000000000234","Ponte Privato va al civico 787/N","metallo","8.5","","2","13.7","7.3","ISEP01","1","no","Rio de S. Isepo","privata","11","conglomerato bituminoso","0.04","ISEP1_P1","pietra calcarea","no","no","0","5034247.27949408","2313376.18556825","Civico 787N o 787A? Struttura portante sorretta da quattro pilastri. Trave in metallo esterna alle spallette.","0","vuoto geometrico","8.5","0","0.35","A","no","787","1.03","","170","conglomerato bituminoso","9","170","","[00160, 00232, 00169, II496, II497, 00218, 00220]","[]"
"ISEPO","ponti","muratura e pietra calcarea","0.135","0.63","2","Policentrico","49.9999999998377","Ponte S. Isepo","metallo e pietra calcarea","7.9","","4","36","13","ISEP01","1","no","Rio de S. Isepo","pubblica","11","trachite","0.04","ISEPO","pietra calcarea","no","no","0","5034206.63645583","2313253.32497598","","2.4","vuoto geometrico","7.9","2.4","0.455","","no","0","0.9","3.29","168","trachite","10","168","","[00160, 00232, 00169, II496, II497, 00218, 00220]","[]"
"QUINTA","ponti","legno","0.12","0.32","2","a cavallette","68.234389821635","Ponte de Quintavale","legno","52","","3.4","32.3","211.3","PIER03","5","no","Canal de S. Piero","pubblica","10","legno","0.09","QUINTA","pietra calcarea","no","no","0","5034445.09561943","2313394.30239131","Le rampe di accesso sono in mattoni e pietra d'Istria.","1.5","vuoto geometrico","11.8","3","0.5","","no","0","0.9","34.67","174","trachite","11","174","","[00384, 00160, 00413, 00410, 00232, 00169, II496, II497, 00218, 00220]","[00410PT0001]"
"VENETA","ponti","muratura e pietra calcarea","0.125","0.7","2","Sesto Ribassato","49.999999999742","Ponte de la Veneta Marina","pietra calcarea","13.4","leone alato a nord e a ovest","8","112.1","33.8","TANA03","1","no","Rio de la Tana","pubblica","15","conglomerato bituminoso","0.38","VENETA","pietra calcarea","no","no","0","5034379.14690648","2312767.17668678","","3.3","pieno","13.4","3.3","0.445","","no","0","0.93","4.06","158","conglomerato bituminoso","15","158","","[00160, 00232, 00169, II495, II496, II497, 00218, 00220]","[]"
"PARADI","ponti","legno","0.14","0.47","2","a cavallette","49.9999999996103","Ponte de l'Arsenal o del Paradiso","legno","14.4","","2.5","93","3.9","ARSE01","1","no","Rio de l'Arsenal","pubblica","18","legno","0.14","PARADI","legno e pietra d'Istria","no","si","0","5034665.94778028","2312741.50617022","I primi 4 gradini sul lato sud e i primi 3 a nord sono in trachite e pietra d'Istria.L'alzata dei gradini in legno è di legno con grate metalliche.","3.3","vuoto geometrico","14.4","4.6","0.75","","no","0","1.1","4.36","151","legno","19","151","","[00355, 00232]","[00355PT0002]"
