Code,Introduction (English),Introduzione (Italiano)
MISE,"The 'New School de la Misericordia', overlooking the river up to its confluence with the canal de la Misericordia, was built by Jacopo Sansovino between 1532 and 1538.�The building is imposing and austere, in relation to the surrounding urban fabric, in keeping with the function of the Great Schools.�Locations of the religious brotherhoods and charities, Venetian schools are recognized by most of the particularity of their facades, and the structure of their internal parts, usually on the ground floor is a large room reserved for religious services, on the first floor instead the 'Chapter House' used for important meetings and communicating with the 'guest lounge' where it was usually kept the treasure of the school.�It overlooks the distant palace Lezze-Antonelli, designed and designed by Longhena in the second half of the seventeenth century and famous for its sculptures by Francesco Cavrioli.","La 'Scuola Nuova de la Misericordia', prospiciente il rio all'altezza della sua confluenza col canal de la Misericordia, fu eretta da Jacopo Sansovino tra il 1532 e il 1538. L'edificio si presenta imponente e austero, in rapporto al tessuto edilizio circostante, consono alla funzione delle Scuole Grandi. Sedi delle confraternite religiose e di beneficenza, le Scuole veneziane si riconoscono per lo pi� per la particolarit� delle loro facciate, e per la struttura delle loro parti interne; solitamente al piano terra si trova un vasto ambiente riservato alle funzioni religiose, al primo piano invece la 'sala capitolare' usata per le riunioni importanti e comunicante con la 'sala dell'albergo' dove veniva generalmente conservato il tesoro della scuola. Si affaccia sul rio palazzo Lezze-Antonelli, progettato su disegno del Longhena nella seconda met� del Seicento e celebre per le sculture di Francesco Cavrioli."
MARI,"The church of Santa Marina was the destination on July 17 of each year of the Doge and the Signoria in commemoration of the conquest, in the year 1509, the city of Padua, which had been withdrawn from the Venetian rule after the war supported by Venice against states coalition of the League of Cambray.�The church was deconsecrated in 1818 and shortly afterwards destroyed.�It is located parallel to the distant palace Marcello Pindemonte-Gothic structure purchased in 1474 by the Doge Nicolo Marcello, in the seventeenth century Baldassare Longhena rebuilt the main facade.�Passed in 1701, the family Pindemonte (which also belonged to the famous poet Ippolito), the building was renovated and enlarged.","La chiesa di Santa Marina era meta il 17 luglio di ogni anno del doge e della Signoria a commemorazione della riconquista, avvenuta nell'anno 1509, della citt� di Padova che era stata sottratta al dominio veneziano in seguito alla guerra sostenuta da Venezia contro gli stati coalizzati nella Lega di Cambray. La chiesa fu sconsacrata nel 1818 e poco dopo distrutta. Sorge parallelo al rio palazzo Marcello-Pindemonte, costruzione gotica acquistata nel 1474 dal doge Nicol� Marcello; nel XVII secolo Baldassare Longhena ricostru� la facciata principale. Passato nel 1701 alla famiglia Pindemonte (cui apparteneva anche il celebre poeta Ippolito), il palazzo fu ampliato e restaurato."
CREA,"The clay deposits (Fri. creates), the raw material for the production of bricks in the various furnaces that once existed in the area, gave the name to this peripheral rio wedged at the west of the Cannaregio district and that once put in the communication channel of the same name [above, n card.�24] with the bag of Saint Lucia, where in 1846 was created the 'bridgehead' of the railway lagoon.�Although altered from its original proportions, as you can see in the photo on the right and in the view of Jacopo de 'Barbari reproduced on p.�44, a couple of years ago was finally reopened the last stretch of the river that debouched in the Cannaregio Canal, which had been buried in 1835.","I depositi di argilla (ven. crea), materia prima destinata alla produzione di laterizi nelle varie fornaci un tempo esistenti nella zona, diedero il nome a questo periferico rio che s'incunea nell'estremit� occidentale del sestiere di Cannaregio e che un tempo metteva in comunicazione l'omonimo canale [supra, scheda n. 24] con la sacca di Santa Lucia, dove nel 1846 venne creata la 'testa di ponte' della strada ferrata translagunare. Bench� alterato rispetto alle sue proporzioni originarie, come si pu� notare nella fotografia a fianco e nella veduta di Jacopo de' Barbari riprodotta a p. 44 , un paio d'anni or sono � stato finalmente riaperto l'ultimo tratto del rio che sboccava nel canale di Cannaregio, che era stato interrato nel 1835."
TERE,"The church and convent of Santa Teresa were purchased in the mid-eighteenth century by Marie Terrace which, orphaned during the plague of 1630, entrusted them to the Carmelite sisters called 'Terese'.�On the day of the patron saint, the church was visited by the Doge and the Signoria.�In 1810 the monastery became the seat of an orphanage and then kindergarten.�It overlooks the river a whole row of the eighteenth century, better known as the 'House of the Seven chimneys', recently at the center of a major renovation.","La chiesa e il convento di Santa Teresa furono acquistati alla met� del XVIII secolo da Maria Terrazzo la quale, rimasta orfana durante la peste del 1630, li affid� alle suore carmelitane dette 'Terese'. Nel giorno della santa patrona, la chiesa era visitata dal doge e dalla Signoria. Nel 1810 il convento divent� la sede di un orfanotrofio e successivamente scuola materna. Si affaccia sul rio un complesso a schiera d'epoca settecentesca, meglio noto come 'casa dei sette camini', recentemente al centro di un importante intervento di restauro."
CELE,"",""
LUCA,"Around the middle of the nineteenth century was called for a certain period rio de mails, when the Ca 'Grimani - current seat of the Court of Appeal, in the background in the picture - were installed Imperial royal central post office, then transferred to the neighboring Ca 'Giustinian-Faccanon and, finally, in Fontego the Germans.�It dates back to 1072 is the oldest document that mentions the parish church of San Luca, founded thereabouts years patrician families Dandolo and Pizzamano.�On the opposite side of the river, in front of the fa�ade of the church, stood the ancient Teatro di San Benetto, partially demolished in 1875 when it was renamed Teatro Rossini, in honor of the great composer, and transformed into a cinema in the Second World War.�The Rio di San Luca laps field Manin (pictured right), the former San Paternian field on which towered the ancient bell tower hexagonal documented nineteenth-century engraving by Giuseppe Bernasconi (View of the Campo San Paternian, before 1871), demolished in 1871.","Intorno alla met� del XIX secolo venne chiamato per un certo periodo rio de le poste, quando nella Ca' Grimani - attuale sede della Corte d'appello, visibile sullo sfondo nella fotografia - furono installate le Imperial regie poste centrali, successivamente trasferite nella vicina Ca' Giustinian-Faccanon e, infine, nel Fontego dei tedeschi. Risale al 1072 il pi� antico documento che accenna alla chiesa parrocchiale di San Luca, fondata in quel torno d'anni dalle famiglie patrizie Dandolo e Pizzamano. Sul lato opposto del rio, di fronte al prospetto della chiesa, sorgeva l'antico Teatro di San Benetto, parzialmente demolito nel 1875 quando venne ribattezzato Teatro Rossini, in omaggio al celebre compositore, e trasformato in sala cinematografica nel secondo dopoguerra. Il rio di San Luca lambisce campo Manin (a destra nella foto), l'antico campo San Paternian sul quale svettava l'antichissimo campanile a pianta esagonale documentato nell'incisione ottocentesca di Giuseppe Bernasconi (Veduta del campo San Paternian, ante 1871), demolito nel 1871."
CHIA,"The church of Santa Chiara was founded on the island of the same name to the 1236 will of John Badoer.�Following a fire in the sixteenth century it was completely rebuilt and decorated with numerous works of seventeenth-century artists, now, however, missing.�The channel reaches the Grand Canal in the terminal and is crossed by the Liberty Bridge, connecting Venice to the mainland.","La chiesa di Santa Chiara fu fondata sopra l'omonima isola verso il 1236 per volere di Giovanni Badoer. In seguito a un incendio avvenuto nel XVI secolo fu completamente ricostruita e ornata da numerose opere d'artisti secenteschi, ora tuttavia disperse. Il canale raggiunge il Canal Grande nella parte terminale ed � attraversato dal ponte della Libert�, collegamento tra Venezia e la terraferma."
APON,"Founded in the eleventh century and restored in the fifteenth, the church of Sant'Aponal vernacular name of St. Apollinaris, was deconsecrated in 1810 and stripped of all the works of art to be reopened in 1851, and today is deconsecrated and houses the archives .�The fa�ade of late Gothic style, dating from the mid-fifteenth century, was adorned with a beautiful portal with sculptures by Antonio Rizzo, from the church of Saint Helena, where he relocated in 1943.�Attached to the church, stands the bell tower of the ancient Venetian-Byzantine building with Gothic additions and supplements.�The bridge crosses the river de la Furatola, a name which indicated small shops selling fried fish and wine retail.","Fondata nel XI secolo e restaurata nel XV, la chiesa di Sant'Aponal, nome volgarizzato di Sant'Apollinare, nel 1810 fu sconsacrata e spogliata di tutte le opere d'arte per essere poi riaperta nel 1851; oggi � sconsacrata e ospita degli archivi. La facciata, di stile tardo-gotico, risalente alla met� del XV secolo, era ornata da un bel portale con sculture di Antonio Rizzo, proveniente dalla chiesa di Sant'Elena, dove venne ricollocato nel 1943. Annesso alla chiesa, si innalza il campanile di antica costruzione veneto-bizantina con aggiunte e integrazioni goticheggianti. Attraversa il rio il ponte de la fur�tola, nome con cui si indicavano piccole botteghe che vendevano pesce fritto e vino al minuto."
PIET,"",""
GORN,"Joseph Tassini in his book dedicated to the toponymy town, talking Gorne, informs us that it is the broad eaves marble - of which were equipped with the high walls of the Arsenal - throwing the rainwater coming from the nearby construction sites covered in the underlying channel.�Even today these Gorne perform the service primitive.�On the foundation of the same name, you can admire the old houses that the Republic of Venice granted to certain employees of the Arsenal, which the chiefs master 'saws' and above 'tornidori'.","Giuseppe Tassini nel suo volume dedicato alla toponomastica cittadina, parlando delle gorne, ci informa che si tratta delle ampie grondaie in marmo - di cui erano munite le alte mura dell'Arsenale - che gettavano l'acqua pluviale proveniente dai coperti dei vicini cantieri nel sottostante canale. Ancor oggi queste gorne svolgono il primitivo servizio. Sulla fondamenta omonima si possono ammirare le vecchie case che la Repubblica di Venezia concedeva ad alcuni dipendenti dell'Arsenale, quali i capi mastri 'alle seghe' e i soprastanti 'tornidori'."
