Codice,Nome_Rio,Insula_Numero,Lunghezza,Superficie,Fondo_di_Progetto
VERO,Rio Menuo o de la Verona,1,242.3,1202.1,180
VEST,Rio de la Veste,1,207.9,1400.4,180
ALBO,Rio de l'Alboro o de le Ostreghe,1,168.8,1068.0,180
ZOBE,Rio de S.M. Zobenigo,1,201.0,1039.7,180
MAUR,Rio de S. Maurizio e rio Malatin,1,256.3,1094.1,180
BARC,Rio dei Barcaroli,1,137.2,1073.3,200
LIO,Rio de S. Lio,36,89.3,676.0,200
GRIS,Rio de S.Giovanni Grisostomo,36,219.2,1087.0,180
GESU,Rio dei Gesuiti,2,183.9,2958.3,200
PANA,Rio de la Panada,2,438.5,3186.6,200
WIDM,Rio Widman,36,179.3,1242.8,200
PIOM,Rio del Piombo,3,279.4,1203.9,180
TETT,Rio de la Tetta,4,190.1,1427.1,200
FORM,Rio de S.M. Formosa,4,164.6,1042.1,180
ZULI,Rio de S. Zulian,3,193.2,1657.8,200
ZANI,Rio de S. Zaninovo o del Remedio,4,202.8,892.5,180
SEVE,Rio de S. Severo,4,281.2,2214.3,200
PROV,Rio de S. Provolo o de l'Osmarin,4,116.8,589.0,180
CELE,Rielo drio la Celestia o de l'Arsenal,25,120.5,1508.5,200
VIGN,Rio de S. Francesco de la Vigna,5,286.0,2421.2,200
DIO,Rio de la Ca' di Dio,24,191.3,1719.1,180
SCUD,Rio dei Scudi e de la S. Ternita,5,355.3,2268.5,180
TANA,Rio de la Tana,9,538.7,5982.2,200
GHET,Rio del Ghetto Novo,7,196.3,1687.4,200
FRES,Rio de la Frescada,33,267.5,1378.8,180
BERN,Rielo S. Antonio-de Ca' Bernardo,8,52.9,200.7,200
ERBE,Rielo de le Erbe,8,91.5,402.2,200
TOMA,Rio de S. Tomà,8,165.2,842.0,180
AGOS,Rio de S. Agostin,8,130.1,1523.2,200
DANI,Rielo de S. Daniel,9,296.7,1692.0,180
ANA,Rio de S. Ana,9,215.6,2024.1,200
ISEP,Rio de S. Isepo,9,386.5,3305.5,180
LUNA,Rio de la Luna o dei Giardinetti,10,261.8,1940.0,180
FUSE,Rio dei Fuseri,10,124.7,871.4,180
BARE,Rio dei Bareteri,10,109.5,784.8,180
PROC,Rio de le Procuratie,10,105.2,578.3,180
FERA,Rio dei Ferali,10,171.9,850.1,180
ORSE,Rio e Bacino Orseolo,10,120.1,1140.0,180
CANO,Rio de la Canonica o de Palazzo,10,281.5,2814.6,200
DUCA,Rio del Duca o de S. Vidal,11,337.6,1562.9,180
ORSO,Rio de l'Orso,11,92.1,413.8,180
SANT,Rio del Santissimo,11,275.3,1595.9,180
GARZ,Rio de Ca' Garzoni,11,182.1,1050.1,180
LORE,Rio de S. Lorenzo,24,239.5,2973.1,200
ANTO,Rio de S. Antonin,24,263.3,2876.8,200
FELI,Rio de S. Felice,12,269.8,1905.0,200
PRIU,Rio Priuli,12,190.6,1752.1,200
RACH,Rio de la Racheta,12,150.1,683.5,180
GUER,Rio de la Guerra,12,81.6,313.3,180
ACQU,Rio de l'Acqua Dolce,12,167.2,1665.0,200
CATE,Rio de S. Caterina,12,310.3,3211.5,200
TRAP,Rio del Trapolin,13,175.5,1280.8,180
FOSC,Rio de S. Fosca,13,160.9,1690.8,200
SERV,Rio dei Servi,13,229.9,2341.6,200
ZECC,Rio dei Zecchini,14,155.1,1926.4,200
ALVI,Rio de S. Alvise,14,468.7,7142.5,220
TRAS,Rio dei Trasti,40,74.9,483.8,180
BRAZ,Rio Brazzo,40,72.5,578.4,200
MUTI,Rio dei Muti,40,75.9,630.5,200
SENS,Rio de la Sensa,40,1059.4,13723.6,200
