Codice,Codice_Rio,Lunghezza,Superficie,Larghezza_Media,Numero_Intersezione_Nord,Numero_Intersezione_Sud,Situazione
MORO,MORO,80.8,1732,21.4,10,20,F
BATE1,BATE,472.6,4540,9.6,20,70,F
GIRO,GIRO,389.2,4750,12.2,20,50,F
TRTE,TRTE,87.4,440,5,30,50,F
GHET,GHET,196.3,1687,8.6,65,70,F
BATE2,BATE,45.1,830,18.4,50,70,F
MISE1,MISE,92.8,1797,19.4,50,65,F
MISE3,MISE,74,784,10.6,85,95,F
MISE4,MISE,22.9,254,11.1,95,110,F
LUST,LUST,76.3,436,5.7,60,95,
ZECC,ZECC,155.1,1926,12.4,15,35,
TRAS,TRAS,74.9,484,6.5,35,40,U
BRAZ,BRAZ,72.5,578,8,45,75,
MUTI,MUTI,75.9,631,8.3,90,120,U
SENS1,SENS,301.7,4631,15.3,5,30,U
SENS2,SENS,230.6,3024,13.1,30,40,U
ALVI,ALVI,468.7,7142,15.2,5,35,S
ORTO1,ORTO,177.1,1801,10.2,35,45,S
ORTO2,ORTO,171.1,2186,12.8,45,90,S
SACM,SACM,157.8,1781,11.3,105,130,
SENS3,SENS,67.7,804,11.9,40,60,U
SENS4,SENS,82.7,844,10.2,60,75,U
SENS5,SENS,165.6,1681,10.2,75,120,U
SENS6,SENS,176.2,2365,13.4,120,170,U
SERV1,SERV,85.3,800,9.4,110,135,
MISE5,MISE,168.6,1551,9.2,110,125,F
GRIM1,GRIM,37.6,184,4.9,125,145,
GRIM2,GRIM,42.2,277,6.6,145,160,
TRAP,TRAP,175.5,1281,7.3,145,210,S
MISE6,MISE,201.8,1743,8.6,125,205,F
NOAL1,NOAL,39.6,500,12.6,190,205,
FELI1,FELI,97.7,847,8.7,190,250,P
CMIS2,CMIS,94.1,2235,23.8,130,170,
CMIS1,CMIS,107.2,1601,14.9,100,130,
MARC3,MARC,46.4,319,6.9,200,245,
MADA1,MADA,24.7,253,10.2,165,180,U
FOSC1,FOSC,8.2,78,9.5,160,165,
