id,lung,sup,rtr,id_nodo1,id_nodo2,venezia,cementificato,prof_md1,data1,prof_md2,data2,prof_md3,data3
3001,135.84,3974.22,F,1017,1024,F,F,-1.84,1999/04/29,0.00,,0.00,
3002,146.73,5643.39,F,1029,1024,F,F,-1.88,1999/04/29,0.00,,0.00,
3003,137.18,1152.71,F,1006,1015,F,F,-1.45,1999/04/26,0.00,,0.00,
3004,235.89,2101.46,F,1015,1027,F,F,-1.63,1999/04/26,0.00,,0.00,
3005,269.67,3457.14,F,1015,1008,F,F,-1.13,1998/09/10,0.00,,0.00,
3006,170.39,1752.42,F,1003,1008,F,F,-1.84,1999/04/28,0.00,,0.00,
3007,193.16,2755.97,F,1008,1019,F,F,-1.57,1999/04/28,0.00,,0.00,
3008,181.91,2740.18,F,1012,1010,F,F,-0.51,1998/09/01,0.00,,0.00,
3009,113.28,1280.54,F,1010,1016,F,F,0.00,,0.00,,0.00,
3010,126.05,1906.95,F,1007,1010,F,F,-0.94,1998/09/01,0.00,,0.00,
3011,171.66,3403.93,F,1007,1018,F,F,-1.51,2000/10/05,0.00,,0.00,
3012,93.16,1450.76,F,1005,1007,F,F,-1.11,1998/09/01,0.00,,0.00,
3013,134.21,11459.81,F,1002,1005,F,F,-1.64,1998/09/01,0.00,,0.00,
3014,183.16,16106.78,F,1005,1014,F,F,0.00,,0.00,,0.00,
2001,187.35,9824.56,F,224,195,T,F,0.00,,0.00,,0.00,
2002,75.93,953.68,F,225,238,T,F,0.00,,0.00,,0.00,
2003,119.34,1354.04,F,214,225,T,F,0.00,,-1.12,2002/12/18,0.00,
2004,136.12,1641.77,F,207,193,T,F,-1.90,2000/07/28,-1.65,2002/12/18,0.00,
2005,145.08,1776.87,F,175,193,T,F,-1.65,2000/07/27,-1.50,2002/12/18,0.00,
2006,72.93,839.15,F,167,171,T,F,-0.87,1998/09/09,-1.46,2002/12/18,0.00,
2007,84.52,970.06,F,163,167,T,F,-0.95,1998/09/09,-0.98,2002/12/18,0.00,
2008,178.94,1490.39,F,152,163,T,F,-1.30,1998/09/09,-1.17,2002/12/18,0.00,
2009,26.60,260.28,F,144,141,T,F,-1.63,2000/07/27,-1.63,2002/12/18,0.00,
2010,69.85,572.52,F,150,161,T,F,0.00,,0.00,,0.00,
2011,44.97,553.07,F,152,161,T,F,-1.73,2000/07/27,-1.50,2002/12/18,0.00,
2012,60.23,612.83,F,144,152,T,F,-1.68,2000/07/27,-1.69,2002/12/18,0.00,
2013,66.60,713.62,F,161,175,T,F,-1.49,2000/07/27,-1.38,2002/12/18,0.00,
2014,64.23,761.09,F,154,158,T,F,-2.12,2000/12/23,0.00,,0.00,
2015,132.02,1013.04,F,204,209,T,F,-1.07,2000/09/14,0.00,,0.00,
2016,152.48,1168.84,F,221,230,T,F,-1.26,1999/05/13,0.00,,0.00,
2017,53.25,633.48,F,251,253,T,F,-1.49,2000/09/13,0.00,,0.00,
2018,150.34,1994.58,F,253,255,T,F,-1.55,2000/09/13,0.00,,0.00,
2019,53.81,771.00,F,255,258,T,F,-1.59,2000/09/15,0.00,,0.00,
2020,41.53,335.78,F,196,208,T,T,-1.15,1995/09/08,-1.53,2003/02/20,0.00,
2021,38.73,199.68,F,194,198,T,F,-1.71,1999/04/26,-1.40,2003/02/20,0.00,
2022,122.77,1268.47,F,139,158,T,F,-0.84,1997/04/09,-1.37,2002/12/18,0.00,
2023,76.93,807.45,F,17,19,T,F,-0.94,1997/08/27,-1.86,2002/12/18,0.00,
2024,86.92,469.34,F,12,19,T,F,-1.15,2000/09/25,-1.24,2002/12/18,0.00,
2025,74.35,860.54,F,8,12,T,F,0.00,,-1.44,2002/12/18,0.00,
2026,91.02,536.77,F,7,8,T,F,-1.41,1999/03/12,-1.36,2002/12/18,0.00,
2027,160.22,1965.00,F,3,7,T,F,-1.30,1999/03/12,-1.40,2002/12/18,0.00,
2028,185.82,1865.29,F,7,9,T,F,-1.29,1998/10/11,-1.59,2002/12/18,0.00,
2029,82.42,625.13,F,9,15,T,F,-0.93,2000/09/21,-0.95,2002/12/18,0.00,
2030,90.02,902.76,F,12,15,T,F,0.00,,-1.35,2002/12/18,0.00,
2031,173.09,1738.19,F,15,23,T,F,0.00,,-1.34,2002/12/18,0.00,
2032,86.46,676.00,F,18,23,T,F,0.00,,-1.24,2002/12/18,0.00,
2033,179.26,2271.28,F,9,18,T,F,-1.23,1998/10/11,-1.53,2002/12/18,0.00,
2034,23.88,265.51,F,18,20,T,F,-1.48,2000/05/01,-1.53,2002/12/18,0.00,
2035,99.10,2311.40,F,25,33,T,F,-1.58,1999/05/01,0.00,,0.00,
2036,192.86,2486.64,F,23,33,T,F,0.00,,-1.33,2002/12/18,0.00,
2037,45.54,1427.41,F,33,36,T,F,-1.84,1999/05/01,0.00,,0.00,
2038,50.20,564.61,F,36,39,T,F,-1.69,1999/05/01,0.00,,0.00,
2039,209.82,1798.69,F,24,39,T,F,-1.09,1997/08/27,-1.58,2002/12/18,0.00,
2040,173.90,1621.71,F,21,24,T,F,-1.12,1997/08/27,-1.73,2002/12/18,0.00,
2041,30.80,322.21,F,19,21,T,F,-0.96,1997/08/27,-2.04,2002/12/18,0.00,
2042,94.23,855.27,F,21,26,T,F,-1.21,1999/03/16,-1.26,2002/12/18,0.00,
2043,45.93,212.04,F,24,28,T,F,-0.91,1999/03/15,-1.41,2002/12/18,0.00,
