id,tipo,id_link1,id_link2,id_link3,id_link4,x,y,interno,venezia
1,1,2416,2420,0,0,2310759.41789726,5036265.25335761,F,T
2,1,2421,0,0,0,2310573.58908963,5036218.07143944,F,T
3,1,2027,0,0,0,2311280.21684,5036212.87233,F,T
4,1,2421,2427,2422,0,2310551.1923272,5036134.82569868,T,T
5,1,2434,0,0,0,2310303.94559371,5036107.24042379,F,T
6,1,2428,2419,2418,0,2310952.50338786,5036086.49397747,T,T
7,1,2417,2028,2027,2026,2311205.67916118,5036070.98663374,T,T
8,1,2418,2026,2025,0,2311168.02687205,5035988.10083133,T,T
9,1,2033,2029,2028,0,2311373.11887447,5035989.37061382,T,T
10,1,2428,2429,2426,2425,2310929.87573096,5035984.27148726,T,T
11,1,2433,2435,2434,0,2310469.46393526,5035975.72295154,T,T
12,1,2024,2030,2025,0,2311236.94886779,5035959.69569687,T,T
13,1,2429,2442,2430,0,2311025.88659439,5035947.68775372,T,T
14,1,2440,2425,2424,0,2310900.45318002,5035939.29919061,T,T
15,1,2029,2031,2030,0,2311320.58213901,5035925.76150949,T,T
16,1,2432,2436,2433,0,2310552.98175925,5035915.42328033,T,T
17,1,2430,2023,0,0,2311129.25309555,5035907.54462987,T,T
18,1,2032,2034,2033,0,2311523.4311667,5035891.00746254,T,T
19,1,2023,2041,2024,0,2311201.4323524,5035880.34928819,T,T
20,1,2034,0,0,0,2311542.37275849,5035876.38996639,F,T
21,1,2040,2042,2041,0,2311228.75211453,5035865.97175093,T,T
22,1,2443,0,0,0,2310199.66376095,5035838.48645891,F,T
23,1,2036,2031,2032,0,2311463.94285881,5035828.12823318,T,T
24,1,2039,2043,2040,0,2311385.14187875,5035788.9649415,T,T
25,1,2035,0,0,0,2311673.85065993,5035773.5875755,F,T
26,1,2392,2042,2393,0,2311204.03816128,5035775.05732375,T,T
27,1,2443,2445,2444,0,2310265.22954082,5035766.36881201,T,T
28,1,2044,2043,2046,0,2311360.89796065,5035749.92162927,T,T
29,1,2392,2391,0,0,2311185.49238856,5035734.69423758,T,T
30,1,2431,2389,0,0,2310857.35013243,5035732.05468971,T,T
31,1,2044,2394,2393,0,2311330.19724395,5035710.85832046,T,T
32,1,2394,2400,2395,0,2311343.41595168,5035697.2706479,T,T
33,1,2036,2051,2035,2037,2311607.97976952,5035699.4102814,T,T
34,1,2055,0,0,0,2311959.73098399,5035687.82226633,F,T
35,1,2395,2396,0,0,2311319.29572703,5035678.47386762,T,T
36,1,2037,2047,2038,0,2311580.10750993,5035663.34645881,T,T
37,1,2050,2052,2051,0,2311670.79955459,5035664.01634406,T,T
38,1,2390,2391,0,0,2311139.68457731,5035649.21887874,T,T
39,1,2038,2047,2045,2039,2311534.80271876,5035641.47020601,T,T
40,1,2046,2401,2045,0,2311500.25925858,5035627.23264478,T,T
41,1,2052,2054,2053,0,2311760.75768472,5035621.87356274,T,T
42,1,2200,0,0,0,2310014.57711408,5035606.18624984,F,T
43,1,2409,2050,2049,0,2311621.17373856,5035603.9166386,T,T
44,1,2399,2401,2400,0,2311455.80382916,5035595.92800698,T,T
45,1,2383,2388,2384,0,2310913.10289783,5035591.3187965,T,T
46,1,2382,2386,2383,0,2310988.26729018,5035592.35861838,T,T
47,1,2381,2390,2382,2378,2311124.01673908,5035579.88075573,T,T
48,1,2047,2404,2402,0,2311527.38935741,5035578.10106057,T,T
49,1,2408,2049,2048,0,2311689.04021678,5035567.82282114,T,T
50,1,2054,2056,2055,0,2311913.81597175,5035561.86384186,T,T
51,1,2412,2380,2381,0,2311182.20214253,5035560.57406279,T,T
52,1,2410,2057,2053,2048,2311731.08774685,5035553.73523422,T,T
53,1,2449,0,0,0,2312117.39891396,5035551.2156658,F,T
54,1,2409,2404,2405,0,2311570.22852562,5035542.53715235,T,T
55,1,2384,2448,2385,0,2310732.57641651,5035522.17064095,T,T
56,1,2411,2414,2413,0,2311300.24693424,5035506.43333661,T,T
57,1,2407,2410,0,0,2311711.38750183,5035514.13201789,T,T
58,1,2499,2057,2056,0,2311898.76660082,5035510.21268924,T,T
59,1,2451,0,0,0,2312179.64146289,5035497.97478548,F,T
60,1,2408,2405,2406,0,2311641.80580763,5035490.13612817,T,T
61,1,2385,2202,2496,2446,2310650.61713011,5035481.01769008,T,T
62,1,2398,2414,2343,2342,2311343.21804214,5035476.91839225,T,T
63,1,2406,2407,0,0,2311686.69004105,5035465.95027099,T,T
64,1,2498,2499,0,0,2311889.54731496,5035456.3519151,T,T
65,1,2341,2363,2342,0,2311359.68576474,5035453.65237751,T,T
66,1,2353,2387,0,0,2310977.68737626,5035453.41241861,T,T
67,1,2449,2450,0,0,2312059.93093259,5035446.45361059,T,T
68,1,2338,2403,2341,2339,2311413.07186195,5035411.46960303,T,T
69,1,2178,2500,2498,0,2311873.27750189,5035404.48080015,T,T
70,1,2356,2355,2379,0,2311085.92739973,5035386.92380751,T,T
71,1,2195,2199,2196,0,2310266.73860103,5035365.33750505,T,T
72,1,2331,2338,2337,0,2311506.79851948,5035329.95356599,T,T
73,1,2367,2368,0,0,2311776.11216618,5035321.58499945,T,T
74,1,2354,2358,2357,0,2311064.92425027,5035302.23831337,T,T
75,1,2500,2505,0,0,2311932.03189525,5035301.59842297,T,T
76,1,2357,2491,0,0,2311062.62355192,5035279.77216161,T,T
77,1,2179,2505,2454,0,2311932.18857363,5035274.68303334,T,T
78,1,2358,2359,2364,0,2311101.19941888,5035272.67337757,T,T
79,1,2336,2365,2337,0,2311602.62796583,5035272.44341696,T,T
80,1,2214,2201,2497,0,2310454.76090601,5035274.16312239,T,T
81,1,2091,0,0,0,2312448.81492366,5035264.65475109,F,T
82,1,2450,2060,2180,0,2311956.01193397,5035244.87813864,T,T
83,1,2344,2360,2359,2345,2311131.56204013,5035244.05827908,T,T
84,1,2347,2348,2346,0,2311035.41923701,5035241.95863873,T,T
85,1,2335,2369,2336,0,2311630.62391888,5035236.06964746,T,T
86,1,2453,2456,0,0,2311788.53923577,5035221.09221296,T,T
87,1,2194,2201,2195,0,2310382.55691047,5035218.53265139,T,T
88,1,2206,2207,0,0,2310684.98741944,5035212.77363785,T,T
89,1,2197,2198,0,0,2310063.41129197,5035211.45386392,T,T
90,1,2349,2351,2350,2348,2310987.49214449,5035210.00411225,T,T
91,1,2350,2204,2205,0,2310876.89369906,5035206.15477161,T,T
