ISMAR equivalent segments,WPI Segments,Canal Name
2001,SCOM2 ,Canal de la Scomenzera                                      
2002,NICO2 ,Rio de S. Nicolò dei Mendicoli                              
2003,RAFF2,Rio de l'Anzolo Rafael                                      
2004,CARM  ,Rio dei Carmini                                             
2005,BRIA  ,Rio Briati                                                  
2006,MAGG3 ,Rio de S. Maria Maggior                                     
2007,MAGG2 ,Rio de S. Maria Maggior                                     
2008,MAGG1 ,Rio de S. Maria Maggior                                     
2009,TREP1 ,Rio dei Tre Ponti                                           
2010,BOTE  ,Rio de le Bote                                              
2011,TREP3 ,Rio dei Tre Ponti                                           
2012,TREP2 ,Rio dei Tre Ponti                                           
2013,TENT1 ,Rio del Tentor                                              
2014,CAFO1 ,Rio de Ca' Foscari                                          
2015,BARN2 ,Rio de S. Barnaba                                           
2016,MALP4 ,Rio del Malpaga                                             
2017,OGNI2,Rio dei Ognisanti                                           
2018,OGNI3,Rio dei Ognisanti                                           
2019,TROV3,Rio de S. Trovaso                                           
2020,VEST1 ,Rio de la Veste                                             
2021,ANZO2,Rio de S. Anzolo                                            
2022,PANT  ,Rio de S. Pantalon                                          
2023,MISE3 ,Rio de la Misericordia                                      
2024,LUST  ,Rio dei Lustraferi                                          
2025,SENS3 ,Rio de la Sensa                                             
2026,TRAS  ,Rio dei Trasti                                              
2027,ZECC  ,Rio dei Zecchini                                            
2028,ORTO1 ,Rio de la Madona de l'Orto                                  
2029,BRAZ  ,Rio Brazzo                                                  
2030,SENS4 ,Rio de la Sensa                                             
2031,SENS5 ,Rio de la Sensa                                             
2032,MUTI  ,Rio dei Muti                                                
2033,ORTO2 ,Rio de la Madona de l'Orto                                  
2034,ORTO3 ,Rio de la Madona de l'Orto                                  
2035,CMIS2 ,Canal de la Misericordia                                    
2036,SENS6 ,Rio de la Sensa                                             
2037,CMIS3 ,Canal de la Misericordia                                    
2038,NOAL1 ,Rio de Noal                                                 
2039,MISE6 ,Rio de la Misericordia                                      
2040,MISE5 ,Rio de la Misericordia                                      
2041,MISE4 ,Rio de la Misericordia                                      
2042,SERV1 ,Rio dei Servi                                               
2043,GRIM1 ,Rio Grimani                                                 
2044,GRIM2 ,Rio Grimani                                                 
2045,NOAL2 ,Rio de Noal                                                 
2046,TRAP  ,Rio del Trapolin                                            
2047,FELI1 ,Rio de S. Felice                                            
2048,ANDR2,Rio de S. Andrea                                            
2049,ANDR1,Rio de S. Andrea                                            
2050,RACH1,Rio de la Racheta                                           
2051,CATE1 ,Rio de S. Caterina                                          
2052,CATE2,Rio de S. Caterina                                          
2053,ACQU1,Rio de l'Acqua Dolce                                        
2054,CATE3,Rio de S. Caterina                                          
2055,GESU1,Rio dei Gesuiti                                             
2056,GESU2 ,Rio dei Gesuiti                                             
2057,GOZZ  ,Rio del Gozzi                                               
2058,MARI3 ,Rio de S. Marina                                            
2059,MARI2 ,Rio de S. Marina                                            
2060,PANA3 ,Rio de la Panada                                            
2061,MARI4 ,Rio de S. Marina                                            
2062,PEST1,Rio del Pestrin                                             
2063,TETT1,Rio de la Tetta                                             
2064,SEVE1 ,Rio de S. Severo                                            
2065,FORM  ,Rio de S.M. Formosa                                         
2066,MOND1 ,Rio del Mondo Novo                                          
