id,id_rio,Y,X
2TOR01,2TOR,45.4387999,12.3299143
2TOR02,2TOR,45.4386272,12.3294686
ACCA01,GRAN,45.4316818,12.3281927
ACCA02,GRAN,45.4313515,12.3289187
ACQU01,ACQU,45.442564,12.3370554
ACQU02,ACQU,45.4420807,12.3367417
ACQU03,ACQU,45.4416884,12.3364909
AGOS01,AGOS,45.4384343,12.3279461
ALBO01,ALBO,45.4323214,12.3335197
ALVI01,ALVI,45.4475412,12.3271937
AMAL01,AMAL,45.4373939,12.3286287
ANA001,ANA,45.4326678,12.35779
ANA002,ANA,45.4325355,12.356622
ANA003,ANA,45.4324908,12.3556905
ANDR01,ANDR,45.4425217,12.335899
ANDR02,ANDR,45.4423477,12.3365832
ANTO01,ANTO,45.4366794,12.3458552
ANZO01,ANZO,45.43417,12.3315209
ANZO02,ANZO,45.4337561,12.3319486
APON01,APON,45.4380685,12.3315379
APON02,APON,45.4378066,12.3310074
APOS01,APOS,45.4416695,12.3389741
APOS02,APOS,45.4412185,12.3388648
APOS03,APOS,45.4405159,12.3382787
APOS04,APOS,45.4400826,12.3366178
ARSE01,ARSE,45.4336208,12.3498566
ARZE01,ARZE,45.4372717,12.3150731
ARZE02,ARZE,45.4364679,12.3154496
ARZE03,ARZE,45.4359575,12.3159125
ARZE04,ARZE,45.435284,12.3161603
AVOG01,AVOG,45.432578,12.321994
BACI01,BACI,45.4305261,12.3397509
BACI02,BACI,45.431703,12.3401616
BACI03,BACI,45.4321265,12.341133
BACI04,BACI,45.4321955,12.342368
BACI05,BACI,45.4318866,12.3445329
BACI06,BACI,45.4325977,12.3457384
BACI07,BACI,45.4325113,12.3469064
BACI08,BACI,45.4320757,12.3482181
BACI09,BACI,45.4313956,12.3490014
BACI10,BACI,45.4302487,12.3513689
BACI11,BACI,45.4281287,12.354951
BACI12,BACI,45.4254519,12.3579805
BACI13,BACI,45.4224919,12.3604321
BACI14,BACI,45.4224485,12.3655028
BACI15,BACI,45.422216,12.368767
BACI16,BACI,45.4241162,12.3711846
BARC01,BARC,45.4346545,12.3343168
BARC02,BARC,45.4341054,12.3347924
BARE01,BARE,45.4361027,12.3376157
BARE02,BARE,45.4357305,12.3371608
BARN01,BARN,45.4333025,12.3256269
BARN02,BARN,45.4330803,12.3236662
BATE01,BATE,45.4460392,12.3231644
BATE02,BATE,45.4456759,12.3263209
BECA01,BECA,45.4391448,12.3329512
BECA02,BECA,45.4382812,12.3318138
BERN01,BERN,45.4383571,12.329464
BIAG01,BIAG,45.4275068,12.3201073
BIAG02,BIAG,45.4258819,12.3191764
BOLD01,BOLD,45.4396361,12.328793
BOLD02,BOLD,45.4394513,12.3291329
BOLD03,BOLD,45.4391042,12.32968
BOTE01,BOTE,45.4354439,12.3209813
BRAZ01,BRAS,45.4457856,12.3318171
BRIA01,BRIA,45.4341927,12.3205392
