2TOR1,2TOR01,
2TOR2,2TOR02,
ACCA1,ACCA01,
ACCA2,ACCA02,
ACQU1,ACQU01,
ACQU2,ACQU02,
ACQU3,ACQU03,
AGOS,AGOS01,
ALBO,ALBO01,
ALVI,ALVI01,
AMAL,AMAL01,
ANA1,ANA001,
ANA2,ANA002,
ANA3,ANA003,
ANDR1,ANDR01,
ANDR2,ANDR02,
ANTO,ANTO01,
ANZO1,ANZO01,
ANZO2,ANZO02,
APON1,APON01,
APON2,APON02,
APOS1,APOS01,
APOS2,APOS02,
APOS3,APOS03,
APOS4,APOS04,
ARSE,ARSE01,
ARZE1,ARZE01,
ARZE2,ARZE02,
ARZE3,ARZE03,
ARZE4,ARZE04,
AVOG,AVOG01,
BARC1,BARC01,
BARC2,BARC02,
BARE1,BARE01,
BARE2,BARE02,
BARN1,BARN01,
BARN2,BARN02,
BATE1,BATE01,
BATE2,BATE02,
BECA1,BECA01,
BECA2,BECA02,
BERN,BERN01,
BIAG1,BIAG01,
BIAG2,BIAG02,
BOLD1,BOLD01,
BOLD2,BOLD02,
BOLD3,BOLD03,
BOTE,BOTE01,
BRAZ,BRAZ01,
BRIA,BRIA01,
BUCI,BUCI01,
BURC,BURC01,
CAFO1,CAFO01,
CAFO2,CAFO02,
CANN1,CANN01,
CANN2,CANN02,
CANN3,CANN03,
CANN4,CANN04,
CANO,CANO01,
CARM,CARM01,
CASS1,CASS01,
CASS2,CASS02,
CATE1,CATE01,
CATE2,CATE02,
CATE3,CATE03,
CAZZ,CAZZ01,
CELE,CELE01,
CHIA1,CHIA01,
CHIA2,CHIA02,
CINI,CINI01,
CMIS1,CMIS01,
CMIS2,CMIS02,
CMIS3,CMIS03,
CONV,CONV01,
CORN,CORN01,
CREA1,CREA01,
CREA2,CREA02,
CREA3,CREA03,
CROC,CROC01,
DANI,DANI01,
DEGO1,DEGO01,
DEGO2,DEGO02,
DEGO3,DEGO03,
DEGO4,DEGO04,
DGIO1,DGIO01,
DIO,DIO001,
DNUO,DNUO01,
DOMI,DOMI01,
DUCA,DUCA01,
ELEN,ELEN01,
ERBE,ERBE01,
EUFE1,EUFE01,
EUFE2,EUFE02,
FAVA1,FAVA01,
FAVA2,FAVA02,
FELI1,FELI01,
FELI2,FELI02,
FERA1,FERA01,
FERA2,FERA02,
1FIS,FIS001,
2FIS,FIS002,
FORM,FORM01,
FORN1,FORN01,
FORN2,FORN02,
FOSC1,FOSC01,
FOSC2,FOSC02,
FRAR1,FRAR01,
FRAR2,FRAR02,
FRES,FRES01,
FUSE,FUSE01,
GAFF,GAFF01,
GALE1,GALE01,
GALE2,GALE02,
GARZ,GARZ01,
GERO,GERO01,
GESU1,GESU01,
GESU2,GESU02,
GHET,GHET01,
GIAR1,GIAR01,
GIAR2,GIAR02,
GIAR3,GIAR03,
GIOB,GIOB01,
GIOR1,GIOR01,
GIOR2,GIOR02,
GIRO,GIRO01,GIRO1
GIUS,GIUS01,
GORN,GORN01,
GOZZ,GOZZ01,
GRAN1,GRAN01,
GRAN2,GRAN02,
GRAN3,GRAN03,
GRAN4,GRAN04,
GRAN5,GRAN05,
GRAN6,GRAN06,
GRAN7,GRAN07,
GRAN8,GRAN08,
GRAN9,GRAN09,
GREC,GREC01,
GRIM1,GRIM01,
GRIM2,GRIM02,
GRIS1,GRIS01,
GRIS2,GRIS02,
GUER,GUER01,
ISEP1,ISEP01,
ISEP2,ISEP02,
LATE1,LATE01,
LATE2,LATE02,
LAVR,LAVR01,
LIO,LIO001,
LORE1,LORE01,
LORE2,LORE02,
LUCA1,LUCA01,
LUCA2,LUCA02,
LUCA3,LUCA03,
LUNA,LUNA01,
LUST,LUST01,
MADA1,MADA01,
MADA2,MADA02,
MADO1,MADO01,
MADO2,MADO02,
MADO3,MADO03,
MAGA,MAGA01,
MAGG1,MAGG01,
MAGG2,MAGG02,
MAGG3,MAGG03,
MALP1,MALP01,
MALP2,MALP02,
MALP3,MALP03,
MALP4,MALP04,
MARC1,MARC01,
MARC2,MARC02,
MARC3,MARC03,
MARG,MARG01,
MARI1,MARI01,
MARI2,MARI02,
MARI3,MARI03,
MARI4,MARI04,
MARN,MARN01,
MAUR,MAUR01,
MEGI1,MEGI01,
MEGI2,MEGI02,
MEGI3,MEGI03,
MELO,MELO01,
MEND,MEND01,
MICH,MICH01,
MIRA,MIRA01,
MISE1,MISE01,
MISE2,MISE02,
MISE3,MISE03,
MISE4,MISE04,
MISE5,MISE05,
MISE6,MISE06,
MOCE,MOCE01,
MOIS,MOIS01,
MOND1,MOND01,
MOND2,MOND02,
MOND3,MOND03,
