!!id,!!type,larghezza media (m),zoom,fondo cementificato,ID,ID del rio,ID intersezione Nord,larghezza minima (m),superficie (m2),ID intersezione Sud,Y,X,lunghezza (m),jobs,jobItems
2TOR01,segmenti,5.8 m,50,no,2TOR01,2TOR,II0485,5.4 m,107.022,II0490,5035185.759,2311174.096,18.39,"[00003, 232/1, 00114, 00159, 00517, 00187, II509]","[00003SC0072, 00114SC0002, 00114SC0008, 00114SC0009, 00114SC0011, 00114SC0012, 00187SC0007]"
2TOR02,segmenti,5.9 m,50,no,2TOR02,2TOR,II0490,3.6 m,291.769,II0505,5035167.792,2311141.754,49.32,"[232/1, 00102, 00517, 00187, II509]","[00102SC0001, 00102SC0002, 00102SC0021, 00187SC0007]"
ACCA01,segmenti,5.1 m,50,no,ACCA01,GRAN,II1190,4.9 m,83.5462,II1215,5034399.753,2311012.857,16.6,"[00009, 232/1, 00517]",[00009SC0127]
ACCA02,segmenti,7.2 m,50,no,ACCA02,GRAN,II1220,7.1 m,75.9319,II1260,5034360.78,2311068.626,10.49,"[232/1, 00517]",[]
ACQU01,segmenti,8.2 m,84.72265365,no,ACQU01,ACQU,II0215,6.6 m,537.834,II0270,5035585.81,2311746.4,65.32,"[00232, 00448, 00189]","[00448SC0005, 00189SC0006, 00189SC0007, 00189SC0009, 00189SC0010, 00189SC0015, 00189SC0017]"
ACQU02,segmenti,10.9 m,56.14027596,no,ACQU02,ACQU,II0270,10.6 m,448.021,II0295,5035532.769,2311719.967,41.04,"[00112, 00232, 00448, 00189]","[00112SC0001, 00112SC0012, 00448SC0005, 00189SC0009, 00189SC0017]"
ACQU03,segmenti,11.3 m,74.97091632,no,ACQU03,ACQU,II0295,9.2 m,602.438,II0325,5035488.267,2311700.061,53.45,"[00112, 00232]","[00112SC0001, 00112SC0009, 00112SC0012]"
AGOS01,segmenti,11.7 m,168.6947814,no,AGOS01,AGOS,II0475,6.4 m,1523.22,II0580,5035149.2,2311018.464,130.1,"[232/1, 00102, 00517]","[00102SC0006, 00102SC0007, 00102SC0008, 00102SC0012]"
ALBO01,segmenti,6.4 m,222.8331994,si,ALBO01,ALBO,II1090,4.6 m,1073.33,II1275,5034460.448,2311431.959,168.91,"[00099, 00232]","[00099SC0008, 00099SC0010]"
ALVI01,segmenti,15.2 m,456.7587642,no,ALVI01,ALVI,IE0005,9.4 m,7142.44,II0035,5036166.361,2310984.244,468.72,"[00156, 00320, 00232, 00468, 00179, II519]","[00320SC0022, 00179SC0002, 00179SC0005, 00179SC0007]"
AMAL01,segmenti,5.6 m,50,no,AMAL01,AMAL,II0635,5.2 m,143.189,II0640,5035033.315,2311067.859,25.7,"[232/1, 00102, 00517]","[00102SC0004, 00102SC0005, 00102SC0013, 00102SC0023]"
AMAV01,segmenti,31.3 m,173.1763705,no,AMAV01,AMAV,IE5185,20.5 m,5326.88,,5029193.405,2312295.252,170.36,[],[]
ANA001,segmenti,11.5 m,77.16338825,no,ANA001,ANA,II1175,9.8 m,854.584,II1195,5034434.552,2313333.635,74.33,"[00160, 00232, II497, 00218, 00220]",[]
ANA002,segmenti,8.1 m,102.889097,no,ANA002,ANA,II1195,6 m,824.193,II1200,5034421.705,2313241.038,101.44,"[00160, 00232, II497, 00218, 00220]",[]
ANA003,segmenti,8.7 m,50,no,ANA003,ANA,II1200,8 m,207.095,II1205,5034418.04,2313166.962,23.66,"[00160, 00232, II497, 00218, 00220]",[]
ANDR01,segmenti,7.9 m,70.87112356,no,ANDR01,ANDR,II0225,6.2 m,567.635,II0255,5035583.991,2311654.48,72.11,"[00003, 00112, 00232, 00448]","[00003SC0041, 00112SC0006, 00112SC0011, 00112SC0016, 00112SC0019, 00448SC0001, 00448SC0002, 00448SC0003, 00448SC0004]"
ANDR02,segmenti,8.3 m,50,no,ANDR02,ANDR,II0255,7 m,309.772,II0270,5035562.444,2311709.227,37.32,"[00003, 00112, 00232, 00448, 00189]","[00003SC0042, 00112SC0006, 00112SC0012, 00112SC0016, 00448SC0004, 00448SC0005, 00189SC0010, 00189SC0017]"
ANTO01,segmenti,10.9 m,339.6700352,no,ANTO01,ANTO,II0630,7.6 m,2876.71,II0870,5034906.387,2312412.975,263.23,"[00104, 00232]","[00104SC0007, 00104SC0009]"
ANZO01,segmenti,6.2 m,89.11907932,no,ANZO01,ANZO,II0970,4.6 m,459.733,II1005,5034666.523,2311283.642,74.57,"[00003, 00108, 00232]","[00003SC0066, 00108SC0002, 00108SC0008, 00108SC0010, 00108SC0016]"
ANZO02,segmenti,5.2 m,50,no,ANZO02,ANZO,II1005,3 m,176.823,II1025,5034617.686,2311316.986,34.22,"[00108, 00232]","[00108SC0002, 00108SC0008]"
