"id","wiki_friendly_title","Segment Ids","ISMAR Links","GIS Id","Alternate IDs","Location-lon","Location-lat","Average Depth (m)","Introduction (English)","Area (m^2)","Introduzione (Italiano)","Name","Length (m)","Insula Number","Target Depth (cm)"
"PANT","Rio de S. Pantalon","PANT","2022","PANT",,"12.32434273","45.43601454","-1.04","The present church of San Pantalon was built in the second half of the seventeenth century on the model of Francesco Comino, but remained unfinished in the front, which looks out over the Rio di Ca 'Foscari (bottom left).ï¿½The former sacred building had instead the facade facing the Rio San Pantalon, as can be seen in the view of Venice by Jacopo de Barbari (reproduced here on p. 40).ï¿½The ceiling of the church is dominated by a huge baroque canvas, designed by Antonio Fumiani, illustrating the episodes of the life of the saint, and is perhaps the largest in the world, widespread surface.","1216.3","L'attuale chiesa di San Pantalon venne edificata nella seconda metï¿½ del XVII secolo su modello di Francesco Comino, ma rimase inconclusa nella facciata, che prospetta sul rio di Ca' Foscari (a sinistra in basso). Il precedente edificio sacro aveva invece la facciata rivolta verso il rio di San Pantalon, come si puï¿½ notare nella veduta di Venezia di Jacopo De Barbari (qui riprodotta a p. 40). Il soffitto della chiesa ï¿½ dominato da un'enorme tela barocca, ideata da Antonio Fumiani, illustrante gli episodi salienti della vita del santo, ed ï¿½ forse la piï¿½ grande al mondo quanto ad estensione superficiale.","Rio de S. Pantalon","112.1","33","200.0"
"LUNA","Rio de la Luna o dei Giardinetti","LUNA,REAL,ZECA","2080,2081,2082,2504","LUNA",,"12.33804345","45.43321387","-1.26","","1940.0","","Rio de la Luna o dei Giardinetti","261.8","10","180.0"
"APOS","Rio dei Ss. Apostoli","APOS4,APOS3,APOS2,APOS1","2178,2365,2366,2367,2368,2498,2499","APOS",,"12.33842969","45.44061425","-1.81","The church of the Holy Apostles, of ancient foundation, was part of one of the earliest centers of settlement of Venice.ï¿½Rebuilt and renovated several times, the present building was renovated in the first half of the eighteenth century; inside are paintings by Tiepolo, including the famous Communion of Saint Lucia.ï¿½The painting by Canaletto reproduced below, Campo Santi Apostoli, dated between 1731 and 1735, documenting the urban layout and architecture of the area, similar to the current.Overlooking the river is building Falier, the twelfth century, with a windowed type Veneto-Byzantine was the residence of the Doge Marin Falier, beheaded in 1355 for having conspired against the Serenissima.ï¿½At the bridge of San Cancian there is Palazzo Morosini, also known as Ca 'Florentine Strozzi by the family who lived in the sixteenth century.","3410.5","La chiesa dei Santi Apostoli, di antichissima fondazione, faceva parte di uno dei primi nuclei insediativi di Venezia. Ricostruito e restaurato piï¿½ volte, l'attuale edificio venne rinnovato nella prima metï¿½ del Settecento; all'interno sono conservati dipinti del Tiepolo, tra cui la celebre Comunione di Santa Lucia. Il quadro del Canaletto riprodotto in basso, Campo Santi Apostoli, databile tra il 1731 e il 1735, documenta la conformazione urbana e architettonica della zona, del tutto simile all'attuale. Affacciato sul rio sorge palazzo Falier, del XII secolo, che conserva un finestrato di tipo veneto-bizantino; fu dimora del doge Marin Falier, decapitato nel 1355 per aver congiurato contro la Serenissima. All'altezza del ponte di San Cancian si trova palazzo Morosini, conosciuto anche come Ca' Strozzi dall'omonima famiglia fiorentina che vi abitï¿½ nel Cinquecento.","Rio dei Ss. Apostoli","396.9","12","200.0"
"CHIA","Canal de S. Chiara","CHIA1,CHIA2","2196,2197,2198","CHIA",,"12.31584549","45.43887529","-2.12","The church of Santa Chiara was founded on the island of the same name to the 1236 will of John Badoer.ï¿½Following a fire in the sixteenth century it was completely rebuilt and decorated with numerous works of seventeenth-century artists, now, however, missing.ï¿½The channel reaches the Grand Canal in the terminal and is crossed by the Liberty Bridge, connecting Venice to the mainland.","10749.4","La chiesa di Santa Chiara fu fondata sopra l'omonima isola verso il 1236 per volere di Giovanni Badoer. In seguito a un incendio avvenuto nel XVI secolo fu completamente ricostruita e ornata da numerose opere d'artisti secenteschi, ora tuttavia disperse. Il canale raggiunge il Canal Grande nella parte terminale ed ï¿½ attraversato dal ponte della Libertï¿½, collegamento tra Venezia e la terraferma.","Canal de S. Chiara","334.5","0","220.0"
"ZULI","Rio de S. Zulian","ZULI","2139,2140,2141,2142","ZULI",,"12.33910561","45.43638343","-1.54","The church of San Giuliano, of ancient foundation, was rebuilt in the sixteenth century to a design by Jacopo Sansovino, the classical faï¿½ade in Istrian stone is enhanced by the entrance and the bronze statue that depicts the client, the doctor Ravenna Thomas Rangone.ï¿½Height of bridge building Papafava Balbi is visible in the painting by William Turner, The Bridge War with the pocket-Papafava Palace, about 1840, characterized by the beautiful sixteenth-century building doorway from itself by building pocket Portogruaro.","1657.8","La chiesa di San Giuliano, di antica fondazione, fu riedificata nel XVI secolo su progetto di Jacopo Sansovino; la facciata classicheggiante in pietra d'Istria ï¿½ arricchita dal portale d'ingresso e dalla statua di bronzo che raffigura il committente, il medico ravennate Tommaso Rangone. All'altezza di ponte Balbi sorge palazzo Papafava, visibile nel dipinto di William Turner, The Ponte della Guerra with the Palazzo Tasca-Papafava, 1840 ca, edificio cinquecentesco caratterizzato dal bel portale proveniente a sua volta da palazzo Tasca di Portogruaro.","Rio de S. Zulian","193.2","3","200.0"
"FELI","Rio de S. Felice","FELI2,FELI1","2047,2402,2403","FELI",,"12.3340255","45.4422553","-1.32","The hydronym is dictated by the nearby church of San Felice, built in 960 by the patrician family Gallina.ï¿½In the district of San Felice was born, in 1693, Pope Clement XIII granted to the parish priests of that church allocating protonotarii apostolic.ï¿½Lived in the same area Marcantonio Bragadin, brutally murdered by the Turks during the siege of Famagusta in 1571, whose mortal remains are preserved in the church of Santi Giovanni e Paolo.ï¿½Curious is the presence along this river of a medieval bridge, the sole survivor in Venice without side rails, called bridge nail (small picture to the right).ï¿½The Rio de San Felice overlook various high-quality residential buildings, including the Ca 'Mora, Ca' Priuli-Scarpon, Ca 'Salamon, Ca' Fontana.","1905.0","L'idronimo ï¿½ dettato dalla vicina chiesa di San Felice, eretta nel 960 dal casato patrizio Gallina. In contrada di San Felice nacque, nel 1693, papa Clemente XIII che concesse ai pievï¿½ni di quella chiesa l'attribuzione di protonotarii apostolici. Nella medesima zona abitava Marcantonio Bragadin, barbaramente trucidato dai turchi nel corso dell'assedio di Famagosta del 1571, le cui spoglie mortali sono conservate nella chiesa dei Santi Giovanni e Paolo. Curiosa appare la presenza lungo questo rio di un ponticello medioevale, l'unico superstite a Venezia privo di parapetti laterali, denominato ponte Chiodo (foto piccola a destra). Sul rio de San Felice si affacciano vari edifici residenziali di pregio, fra i quali la Ca' Mora, Ca' Priuli-Scarpon, Ca' Salamon, Ca' Fontana.","Rio de S. Felice","261.0","12","200.0"
"ACQU","Rio de l'Acqua Dolce","ACQU1,ACQU2,ACQU3","2053,2407,2410","ACQU",,"12.33665943","45.44200689","-1.06","Located not far from the Fondamente Nove, owes its name to the numerous burci stationed there after the daily stocks in the rivers inland.ï¿½Fresh water was taken to feed the numerous public and private wells in the city, while a small percentage was sold retail by Acquaroli.ï¿½Gaetano Zompini in his book The arts that go by (1785) describes as one of these vendors:ï¿½Co'm Bigolo port to a Bezzo sechio, the water Boteghe, who was not well at home, and assae sweet, and makes a clear co spechioï¿½.This is one of the few rivers citizens crossed by bridges.ï¿½At the confluence with the Rio di Sant'Andrea, the area currently transformed into garden (that is seen on the left in the photo) was occupied until the beginning of this century by a typical squï¿½ro for the construction of boats, remembered in the names of zone.","1665.0","Situato non lontano dalle Fondamente Nove, deve la sua denominazione ai numerosi burci che vi stazionavano dopo aver effettuato le quotidiane scorte nei fiumi dell'entroterra. L'acqua dolce veniva prelevata per alimentare i numerosi pozzi pubblici e privati della cittï¿½, mentre una piccola percentuale veniva venduta al minuto dagli acquaroli. Gaetano Zompini nel suo volume Le arti che vanno per via (1785) cosï¿½ descrive uno di questi venditori ambulanti:ï¿½Co sto bigï¿½lo porto un bezzo al sechio, l'acqua a boteghe, a chi no ha pozzo in casa, e assae dolce, e chiara co fa un spechio. Questo ï¿½ uno dei rari rii cittadini non attraversato da ponti. Alla confluenza con il rio di Sant'Andrea, l'area attualmente trasformata in giardino (che s'intravvede a sinistra nella fotografia) era occupata fino all'inizio del nostro secolo da un tipico squï¿½ro per la costruzione di barche, ricordato nella toponomastica della zona","Rio de l'Acqua Dolce","186.9","12","200.0"
"GHET","Rio del Ghetto Novo","GHET","2440,2441,2442","GHET",,"12.32713223","45.44497272","-1.18","From a copper smelter at the beginning of the fifteenth century on reclaimed land, a few decades earlier, changed its name to the whole area and the surrounding rivers, where the Jews were settled in 1516.ï¿½The massive presence of the children of Israel to the Republic of Venice forced to subsequent concessions of land to enlarge their settlement, developed in three adjacent urban centers, distinct from one another with such names as 'ghetto old and very new novo'.ï¿½It is not enough these spaces, the buildings were developed vertically (as glimpsed in the photo), so as to arrive at heights, quite unusual in Venice, six or seven floors.ï¿½The river that encircles the island of Ghetto novo - until the beginning of the last century - it was called 'the agudi' (in the stretch from the mouth of the river reaches the corner of the school Batelo Canton) and from there to the river of Ormesini, rio millstone.","1687.4","Da una fonderia di rame presente all'inizio del XV secolo su un'area bonificata qualche decennio prima, prende la denominazione l'intera zona ed i rii circostanti, in cui vennero insediati gli ebrei nel 1516. La massiccia presenza dei figli d'Israele a Venezia obbligï¿½ la Repubblica a successive concessioni di terreno per ingrandire il loro insediamento, sviluppatosi in tre adiacenti nuclei urbani, distinti tra loro con gli appellativi di 'ghetto vecchio, novo e novissimo'. Non essendo sufficienti questi spazi, gli edifici vennero sviluppati in verticale (come s'intravvede nella fotografia), tanto da arrivare ad altezze, del tutto inconsuete in Venezia, di sei-sette piani. Il rio che circuisce l'isola del Ghetto novo - fino all'inizio del secolo scorso - era denominato 'degli agudi' (nel tratto che dallo sbocco del rio del batelo raggiunge all'angolo della scuola Canton) e, da qui al rio dei ormesini, rio della macina.","Rio del Ghetto Novo","196.3","7","200.0"
"MALA",,"MALA02,MALA01","",,,,,,,,,,,,
"ORIO","Rio de S. Giacomo dell'Orio","ORIO2,ORIO1,ORIO3","2347,2348,2350,2491","ORIO",,"12.32687473","45.43887529","-1.4","The name of the river derives from that of the church called for a laurel tree (lauro - lorio) which was located near the original building.ï¿½Along the river stands the palace Talents, ogival building of the fifteenth century also called 'delle Oche' for small paterae Byzantine Overhanging the portal and depict precisely these birds.ï¿½Cross the river bridge anatomy, whose name recalls that close, in Campo San Giacomo da l'Orio, stood the Anatomy Theatre, opened in 1671 and was destroyed after a fire in 1800.","1694.5","Il nome del rio deriva da quello dell'omonima chiesa cosiddetta per una pianta di alloro (lauro- lorio) che si trovava nei pressi dell'edificio originario. Lungo il rio si erge palazzo Talenti, edificio archiacuto del XV secolo chiamato anche 'delle Oche' per delle piccole patere bizantine che sormontano il portale e raffigurano appunto questi volatili. Attraversa il rio il ponte dell'Anatomia, il cui nome ricorda che nei pressi, in campo San Giacomo da l'Orio, sorgeva il Teatro Anatomico, aperto nel 1671 e andato distrutto a seguito di un incendio nel 1800.","Rio de S. Giacomo dell'Orio","206.8","8","200.0"
