link,node1,node2
2001,195,224
2002,225,238
2003,214,225
2004,193,207
2005,175,193
2006,167,171
2007,163,167
2008,152,163
2009,141,144
2010,150,161
2011,152,161
2012,144,152
2013,161,175
2014,154,158
2015,204,209
2016,221,230
2017,251,253
2018,253,255
2019,255,258
2020,196,208
2021,194,198
2022,139,158
2023,17,19
2024,12,19
2025,8,12
2026,7,8
2027,3,7
2028,7,9
2029,9,15
2030,12,15
2031,15,23
2032,18,23
2033,9,18
2034,18,20
2035,25,33
2036,23,33
2037,33,36
2038,36,39
2039,24,39
2040,21,24
2041,19,21
2042,21,26
2043,24,28
2044,28,31
2045,39,40
2046,28,40
2047,36,48
2048,49,52
2049,43,49
2050,37,43
2051,33,37
2052,37,41
2053,41,52
2054,41,50
2055,34,50
2056,50,58
2057,52,58
2058,98,102
2059,97,98
2060,82,97
2061,102,104
2062,104,110
2063,110,114
2064,114,131
2065,131,145
2066,119,126
2067,98,119
2068,104,126
2069,145,153
2070,164,166
2071,114,130
2072,118,130
2073,110,118
2074,157,159
2075,143,157
2076,157,160
2077,174,180
2078,182,185
2079,208,211
2080,213,226
2081,205,213
2082,205,215
2083,130,162
2084,162,200
2085,162,164
2086,118,121
2087,186,188
2088,186,190
2089,176,190
2090,176,179
2091,81,121
2092,217,233
2093,233,234
2094,232,233
2095,228,232
2096,181,184
2097,184,191
2098,191,228
2099,228,244
2100,223,244
2101,173,191
2102,127,281
2103,154,283
2104,154,280
2105,141,280
2106,144,284
2107,163,284
2108,167,275
2109,175,275
2110,203,276
2111,203,277
2112,225,277
2113,214,278
2114,207,278
2115,207,271
2116,252,271
2117,230,269
2118,230,270
2119,251,270
2120,253,273
2121,272,273
2122,209,269
2123,193,279
2124,154,279
2125,158,285
2126,139,286
2127,196,331
2128,182,331
2129,198,330
2130,198,327
2131,327,328
2132,194,339
2133,208,329
2134,174,342
2135,159,342
2136,183,341
2137,340,341
2138,160,340
2139,143,306
2140,306,307
2141,307,308
2142,153,308
2143,145,310
2144,310,311
2145,166,311
2146,166,313
2147,312,313
2148,202,312
2149,183,431
2150,164,314
2151,131,314
2152,145,309
2153,126,309
2154,119,302
2155,301,302
2156,300,301
2157,112,305
2158,143,305
2159,99,317
2160,117,317
2161,121,343
2162,136,343
2163,181,322
2164,217,322
2165,217,326
2166,184,323
2167,323,324
2168,324,325
2169,232,325
2170,136,318
2171,318,320
2172,186,320
2173,136,319
2174,188,321
2175,212,321
2176,315,316
2177,121,316
2178,69,304
2179,77,303
2180,82,303
2181,265,359
2182,259,360
2183,257,360
2184,289,362
2185,107,129
2186,124,129
2187,129,140
2188,140,147
2189,147,171
2190,140,375
2191,125,375
2192,120,125
2193,125,378
2194,87,378
2195,71,87
2196,71,377
2197,89,377
2198,89,107
2199,71,364
2200,42,364
2201,80,87
2202,61,379
2203,379,380
2204,91,380
2205,91,290
2206,88,290
2207,88,361
2208,289,361
2209,125,127
2210,125,137
2211,127,296
2212,295,296
2213,295,363
2214,80,363
2215,137,141
2216,281,282
2217,282,283
2218,171,189
2219,189,276
2220,218,221
2221,218,272
2222,216,218
2223,216,227
2224,227,274
2225,222,274
2226,220,222
2227,222,372
2228,255,372
2229,216,373
2230,210,373
2231,204,374
2232,199,374
2233,178,285
2234,178,199
2235,169,178
2236,165,169
2237,155,165
2238,155,394
2239,336,394
2240,336,337
2241,187,337
2242,187,338
2243,338,392
2244,172,393
