id,Ismar Link Ids,
SCOM2,2001,SCOM2
NICO2,2002,NICO2
RAFF2,2003,RAFF2
CARM,2004,CARM
BRIA,2005,BRIA
MAGG3,2006,MAGG3
MAGG2,2007,MAGG2
MAGG1,2008,MAGG1
TREP1,2009,TREP1
BOTE,2010,BOTE
TREP3,2011,TREP3
TREP2,2012,TREP2
TENT1,2013,TENT1
CAFO1,2014,CAFO1
BARN2,2015,BARN2
MALP4,2016,MALP4
OGNI2,2017,OGNI2
OGNI3,2018,OGNI3
TROV3,2019,TROV3
VEST1,2020,VEST1
ANZO2,2021,ANZO2
PANT,2022,PANT
MISE3,2023,MISE3
LUST,2024,LUST
SENS3,2025,SENS3
TRAS,2026,TRAS
ZECC,2027,ZECC
ORTO1,2028,ORTO1
BRAZ,2029,BRAZ
SENS4,2030,SENS4
SENS5,2031,SENS5
MUTI,2032,MUTI
ORTO2,2033,ORTO2
ORTO3,2034,ORTO3
CMIS2,2035,CMIS2
SENS6,2036,SENS6
CMIS3,2037,CMIS3
NOAL1,2038,NOAL1
MISE6,2039,MISE6
MISE5,2040,MISE5
MISE4,2041,MISE4
SERV1,2042,SERV1
GRIM1,2043,GRIM1
GRIM2,2044,GRIM2
NOAL2,2045,NOAL2
TRAP,2046,TRAP
FELI1,2047,FELI1
ANDR2,2048,ANDR2
ANDR1,2049,ANDR1
RACH1,2050,RACH1
CATE1,2051,CATE1
CATE2,2052,CATE2
ACQU1,2053,ACQU1
CATE3,2054,CATE3
GESU1,2055,GESU1
GESU2,2056,GESU2
GOZZ,2057,GOZZ
MARI3,2058,MARI3
MARI2,2059,MARI2
PANA3,2060,PANA3
MARI4,2061,MARI4
PEST1,2062,PEST1
TETT1,2063,TETT1
SEVE1,2064,SEVE1
FORM,2065,FORM
MOND1,2066,MOND1
PIOM1,2067,PIOM1
PEST2,2068,PEST2
MOND3,2069,MOND3
PROV2,2070,PROV2
TETT2,2071,TETT2
LORE1,2072,LORE1
LATE1,2073,LATE1
BARE2,2074,BARE2
BARE1,2075,BARE1
FERA1,2076,FERA1
SCOA2,2077,SCOA2
VEST2,2079,VEST2
LUNA,2080,LUNA
REAL,2081,REAL
LORE2,2083,LORE2
GREC,2084,GREC
PROV1,2085,PROV1
LATE2,2086,LATE2
BARC1,2087,BARC1
MRTI1,2087,MRTI1
MRTI2,2088,MRTI2
GALE2,2089,GALE2
BUCI,2090,BUCI
GIUS,2091,GIUS
TANA1,2092,TANA1
ANA3,2093,ANA3
ANA2,2094,ANA2
ANA1,2095,ANA1
VERG1,2096,VERG1
VERG2,2097,VERG2
PIER2,2098,PIER2
PIER3,2099,PIER3
QUIN,2100,QUIN
PIER1,2101,PIER1
ARZE1,2185,ARZE1
ZIRA2,2186,ZIRA2
ARZE2,2187,ARZE2
ARZE3,2188,ARZE3
ARZE4,2189,ARZE4
ZIRA1,2192,ZIRA1
GRAN2,2195,GRAN2
CHIA2,2198,CHIA2
GRAN3,2201,GRAN3
MAGA,2209,MAGA
NOVO2,2210,NOVO2
NOVO3,2215,NOVO3
TERE1,2218,TERE1
MALP3,2220,MALP3
MALP2,2222,MALP2
TOLA1,2223,TOLA1
TROV1,2226,TROV1
MALP1,2229,MALP1
GRAN28,2234,GRAN28
