"id","polygon"
"3001","LINESTRING (12.328809628579764 45.42540551539082, 12.328681078739242 45.425134452780895)"
"3002","LINESTRING (12.328208168656762 45.424205522812855, 12.32806541910671 45.423941661929135)"
"3003","LINESTRING (12.32328105332691 45.426724672113544, 12.323165634706845 45.42644776320768)"
"3004","LINESTRING (12.322585578059638 45.42511901468018, 12.32246320477092 45.42484510816655)"
"3005","LINESTRING (12.32149377350591 45.42636346803581, 12.321202664904067 45.42643596480769)"
"3006","LINESTRING (12.320043524688229 45.427387955059935, 12.32018919597276 45.42765021423873)"
"3007","LINESTRING (12.319322071790605 45.426132041360084, 12.319169456994175 45.425873761039675)"
"3008","LINESTRING (12.315541463479622 45.426205106942156, 12.315248897729862 45.4262714792411)"
"3009","LINESTRING (12.314475152118947 45.42614609442848, 12.3146196934344 45.42588321078858)"
"3010","LINESTRING (12.313643513169314 45.426582718870016, 12.313346594664011 45.42662560711093)"
"3011","LINESTRING (12.312976582740042 45.42611967689025, 12.313100887586295 45.42584664153503)"
"3012","LINESTRING (12.312294060801653 45.42683328892485, 12.312005186427823 45.42691423085554)"
"3013","LINESTRING (12.311741294766477 45.42747467388696, 12.311834727814023 45.42775975328928)"
"3014","LINESTRING (12.311015554022786 45.426466018672166, 12.310800357634934 45.42625699591107)"
"2001","LINESTRING (12.31002756499351 45.43240813300422, 12.310227733042149 45.432631589380954)"
"2002","LINESTRING (12.31562883490498 45.4317604558892, 12.315646833137832 45.431460996269855)"
"2003","LINESTRING (12.316147875280121 45.432156032795625, 12.316427860188183 45.43226377531861)"
"2004","LINESTRING (12.320167835795733 45.43324990592229, 12.320436844567983 45.433382700050366)"
"2005","LINESTRING (12.320595671345544 45.43409954295346, 12.320386302049023 45.43431440220431)"
"2006","LINESTRING (12.316892168867748 45.43481031006543, 12.316598056205015 45.434751168357465)"
"2007","LINESTRING (12.317569048624115 45.43494400565292, 12.31786352246204 45.43500132195756)"
"2008","LINESTRING (12.319194049306214 45.43526492354003, 12.319488252798722 45.43532361174154)"
"2009","LINESTRING (12.320274508637633 45.436024620669286, 12.320419360071403 45.436287333558454)"
"2010","LINESTRING (12.321003945332354 45.43548026785751, 12.320782812171128 45.43527753619987)"
"2011","LINESTRING (12.320595458991527 45.43518563805024, 12.320469971867158 45.43545813205314)"
"2012","LINESTRING (12.320407782734597 45.43563565488164, 12.320321755428372 45.43592305582558)"
"2013","LINESTRING (12.320423184715901 45.43501333750608, 12.320164373391089 45.43486162495502)"
"2014","LINESTRING (12.32355250180601 45.435470663133586, 12.323852262602937 45.43545868546164)"
"2015","LINESTRING (12.323457005581377 45.433047017108976, 12.323754482796934 45.43308584115081)"
"2016","LINESTRING (12.32302745803597 45.43207529274721, 12.322733125977127 45.432017252768425)"
"2017","LINESTRING (12.323811038360233 45.43090695844902, 12.324089713756074 45.430795872789496)"
"2018","LINESTRING (12.324945111390504 45.43045450271618, 12.325223733037477 45.430343282314105)"
"2019","LINESTRING (12.325849429132711 45.429970602691206, 12.325666535842783 45.429732800158625)"
"2020","LINESTRING (12.333005041669644 45.43328275409379, 12.332911289574831 45.43356772873252)"
"2021","LINESTRING (12.33203588633156 45.43358884614572, 12.33185773490274 45.43383022151399)"
"2022","LINESTRING (12.32442527920564 45.436107815049844, 12.324297013246595 45.4358366179928)"
"2023","LINESTRING (12.32935814932713 45.44519862200014, 12.329649942349993 45.445128931026495)"
"2024","LINESTRING (12.330105526460693 45.4452845648331, 12.330256055339566 45.445544066387285)"
"2025","LINESTRING (12.330089638742384 45.44585556812604, 12.329799513295997 45.44593190439107)"
"2026","LINESTRING (12.329645100081423 45.44626015601524, 12.32979740180525 45.44651862107075)"
"2027","LINESTRING (12.3303051410977 45.44729300684313, 12.330475040202412 45.44754026034507)"
"2028","LINESTRING (12.330887755638692 45.44647074049851, 12.331173925140973 45.446380701529364)"
"2029","LINESTRING (12.331906312912563 45.4458910964028, 12.331684686079791 45.4456889045459)"
"2030","LINESTRING (12.331077337123004 45.4455986892015, 12.330786901905066 45.44567383828122)"
"2031","LINESTRING (12.332272742272687 45.445139757266155, 12.33254673301038 45.44501757266951)"
"2032","LINESTRING (12.333595225135202 45.44485932315131, 12.333830024395585 45.44504605640311)"
"2033","LINESTRING (12.333236287898714 45.44560500632627, 12.33296048534136 45.445723044241184)"
"2034","LINESTRING (12.334069504209905 45.445249173956505, 12.334337090124743 45.44511353554683)"
"2035","LINESTRING (12.335759735824272 45.443987037444174, 12.335530892820554 45.4437930506414)"
"2036","LINESTRING (12.334422467476811 45.44402788586906, 12.334163891957873 45.44417999997428)"
"2037","LINESTRING (12.335177315367625 45.44348523871098, 12.334962627587428 45.443275693591644)"
"2038","LINESTRING (12.334755622632587 45.44316102679425, 12.33447418816426 45.44305712953713)"
"2039","LINESTRING (12.33346896524169 45.443563059718535, 12.333217335823548 45.44372640792307)"
"2040","LINESTRING (12.331483920766534 45.44456287791045, 12.33119803124756 45.44465380196085)"
"2041","LINESTRING (12.330290294583362 45.444943317872436, 12.33000635822014 45.44504016900377)"
"2042","LINESTRING (12.330235078256962 45.444660969849856, 12.330139541835297 45.444376588429684)"
"2043","LINESTRING (12.332304519478116 45.44422244815848, 12.332114560175812 45.44399025112261)"
"2044","LINESTRING (12.331983429096221 45.443850867041384, 12.331766968307909 45.44364315395291)"
"2045","LINESTRING (12.333969661855914 45.44288938131631, 12.334255568063956 45.44298025287514)"
"2046","LINESTRING (12.33310879074467 45.443321230077004, 12.33284921776389 45.44347163575392)"
"2047","LINESTRING (12.33467572719009 45.442939379809765, 12.334486242568103 45.44270679524873)"
"2048","LINESTRING (12.336749721794105 45.442299847478374, 12.336456136935452 45.44236155591191)"
"2049","LINESTRING (12.336032161180785 45.4424910050455, 12.335748561643317 45.44258883807851)"
"2050","LINESTRING (12.335642704199328 45.44286854926139, 12.335864311026869 45.443070763044275)"
"2051","LINESTRING (12.335789867007135 45.44334538631997, 12.33550818274506 45.44344860442157)"
"2052","LINESTRING (12.336497534588096 45.44311451687051, 12.336784742680281 45.443027847892296)"
"2053","LINESTRING (12.337123127058565 45.44271506739092, 12.336975877229357 45.44245369124856)"
