"id","change"
"SCOM2","0.52295449"
"NICO2","0.52281021"
"RAFF2","0.52255909"
"CARM","0.52166708"
"BRIA","0.52086689"
"MAGG3","0.52111224"
"MAGG2","0.52065213"
"MAGG1","0.52025505"
"TREP1","0.51952303"
"BOTE","0.52024151"
"TREP3","0.5201614"
"TREP2","0.51986627"
"TENT1","0.52043802"
"CAFO1","0.52095649"
"BARN2","0.52436541"
"OGNI2","0.5247492"
"MALP4","0.52454988"
"TROV3","0.52496684"
"OGNI3","0.52484806"
"ANZO2","0.52419145"
"VEST1","0.52461879"
"MISE3","0.50066023"
"PANT","0.52158717"
"SENS3","0.49785584"
"LUST","0.49970924"
"ZECC","0.49703672"
"TRAS","0.49733451"
"BRAZ","0.49771695"
"ORTO1","0.49727185"
"SENS5","0.49819533"
"SENS4","0.49803987"
"ORTO3","0.49708306"
"CMIS2","0.49985919"
"MUTI","0.49779657"
"ORTO2","0.49731819"
"NOAL1","0.50260278"
"MISE6","0.50397707"
"SENS6","0.4995727"
"CMIS3","0.50099363"
"SERV1","0.50521252"
"GRIM1","0.5049839"
"MISE5","0.50344257"
"MISE4","0.50208503"
"TRAP","0.50592099"
"FELI1","0.50218242"
"GRIM2","0.50709261"
"NOAL2","0.50491416"
"CATE1","0.50121467"
"RACH1","0.50206319"
"ANDR1","0.50243093"
"ANDR2","0.50244357"
"GESU1","0.50091143"
"CATE3","0.50190744"
"ACQU1","0.50221637"
"CATE2","0.5018515"
"MARI2","0.5139194"
"MARI3","0.51381535"
"GOZZ","0.50291769"
"GESU2","0.50260877"
"TETT1","0.51803872"
"PEST1","0.51573305"
"MARI4","0.51395579"
"PANA3","0.51259447"
"PEST2","0.51528442"
"MOND3","0.52125563"
"PROV2","0.52298247"
"TETT2","0.51910045"
"SEVE1","0.51950438"
"FORM","0.52027507"
"MOND1","0.51639351"
"PIOM1","0.51515351"
"FERA1","0.52174138"
"SCOA2","0.52276946"
,"0.52323879"
"VEST2","0.52475514"
"LORE1","0.51864854"
"LATE1","0.51758682"
"BARE2","0.52166721"
"BARE1","0.52138784"
"PROV1","0.52291033"
"GREC","0.52554277"
"MRTI1","0.52147198"
"LATE2","0.51718406"
"REAL","0.52738443"
"LUNA","0.52709161"
"LORE2","0.52124512"
"ZECA","0.52779283"
"ANA3","0.52684457"
"TANA1","0.52680668"
"ANA1","0.52636721"
"ANA2","0.526619"
"GALE2","0.51241002"
"MRTI2","0.5163784"
"GIUS","0.51123786"
"BUCI","0.5122346"
"GAFF","0.51923628"
,"0.52002796"
"QUIN","0.52686893"
"PIER1","0.52438738"
"PIER2","0.52552834"
"PIER3","0.52650989"
"VERG1","0.52520143"
"VERG2","0.52495602"
"TERE2","0.52143556"
"NICO1","0.52186022"
"TENT2","0.52085389"
,"0.52073343"
"CAZZ","0.51987324"
,"0.52026202"
"NOVO4","0.51997332"
,"0.5195235"
,"0.52466218"
"OGNI1","0.52457006"
"AVOG","0.52452018"
,"0.52434409"
"SEBA","0.52296998"
,"0.52230276"
"RAFF1","0.52242574"
,"0.52242675"
"VERO1","0.52421645"
"FRES","0.52260768"
"CAFO2","0.52256804"
,"0.52047107"
"MARG","0.52085662"
,"0.52445426"
,"0.52464319"
"ROMI","0.52471491"
,"0.52271017"
"FERA2","0.52314739"
"ZULI","0.52135642"
,"0.52216476"
,"0.52190074"
,"0.5216494"
"ZANI","0.52073714"
,"0.52213324"
"VERO2","0.5243573"
,"0.52354445"
,"0.52463473"
"MAUR","0.52441101"
"ZOBE","0.52477318"
"SANT","0.52416331"
,"0.52213552"
"SCOA1","0.52263562"
"MOND2","0.51901651"
,"0.51703971"
"PIOM2","0.51647973"
,"0.51694454"
,"0.51741214"
"FAVA2","0.51931945"
,"0.52079289"
"CELE","0.50800849"
,"0.52129927"
,"0.52234584"
"VIN","0.524283"
,"0.52566436"
,"0.52699627"
,"0.52535303"
"SEVE2","0.52233319"
,"0.52107191"
,"0.51920649"
"GORN","0.51857866"
,"0.52636071"
,"0.52617842"
,"0.52765586"
"DIO","0.52464571"
"SCUD1","0.52000836"
,"0.51988134"
"GERO","0.52535586"
,"0.51808165"
"VIGN","0.51704812"
,"0.50801004"
,"0.52584882"
"DANI","0.5253735"
"TANA2","0.52727509"
,"0.526137"
"ZIRA2","0.52212136"
"ARZE2","0.52180089"
"MUNE","0.52066683"
"ARZE1","0.52224945"
"BURC","0.52072019"
,"0.51950795"
"ARZE3","0.521473"
"ARZE4","0.52139473"
"APOS3","0.5095126"
"WIDM3","0.51127764"
"ANTO","0.51930903"
,"0.5174058"
"ISEP2","0.52996601"
,"0.52972364"
,"0.51126065"
"GIAR3","0.52911465"
"ZUAN","0.51830122"
,"0.51785774"
,"0.51967187"
,"0.51894999"
"GRAN3","0.51700346"
,"0.51637341"
,"0.51712344"
"MARN","0.51666125"
,"0.52029517"
"CHIA1","0.51811775"
"GRAN1","0.51695604"
"CHIA2","0.52195298"
"NOVO1","0.51836229"
"ZIRA1","0.51906845"
"GRAN2","0.51711636"
,"0.5173639"
"MALP3","0.52454892"
,"0.52458439"
"MALP2","0.52452066"
"TOLA1","0.52454458"
,"0.51957751"
,"0.51968169"
"TERE1","0.5213328"
,"0.5213586"
,"0.51812942"
,"0.51771772"
,"0.51717695"
"NOVO3","0.51937948"
,"0.52015018"
"MAGA","0.51900026"
"NOVO2","0.51920577"
"TOLE","0.51858706"
,"0.52287605"
"GARZ","0.52277464"
"GRAN25","0.52307227"
"GRAN26","0.52367559"
"GRAN27","0.52395481"
"GRAN28","0.52406693"
,"0.52376288"
,"0.52416826"
"BARN1","0.52425247"
,"0.52423805"
"MALP1","0.52438163"
,"0.52491123"
"TROV2","0.52488253"
"TROV1","0.52487691"
,"0.524809"
"TOLA2","0.52466969"
,"0.52509408"
"GRAN33","0.52508227"
"GRAN30","0.52454094"
"GRAN29","0.52417341"
"GRAN32","0.5250364"
"GRAN31","0.52494526"
,"0.525014"
,"0.52505842"
,"0.52492498"
,"0.52496463"
"MICH","0.52226543"
"DUCA","0.52488461"
"CORN","0.52311405"
,"0.52280408"
,"0.52298762"
,"0.5231417"
,"0.52507657"
,"0.52595777"
"FORN2","0.52575365"
"FORN1","0.52551454"
,"0.5259147"
"SALU1","0.52595649"
"SALU2","0.52599019"
,"0.52502768"
"GRAN41","0.52690495"
"GRAN40","0.52635335"
"GRAN39","0.52570588"
"GRAN38","0.52547614"
"VEST3","0.52474799"
,"0.52511268"
