"id","Title","wiki_title","Job Item Ids","Ismar Link Ids","GIS Id","Alternate IDs","Minimum Width (m)","Location-lon","Location-lat","GIS Total Id","Area (m^2)","Average Width (m)","Length (m)","Canal ID","Cemented"
"MOND3","Segment MOND3","Segment MOND3","00103SC0016,00103SC0017,00103SC0032,00103SC0115,00103SC0118","2069","MOND3","MOND03","5.6","12.3403731","45.4362025","MOND03","519.621","7.2","72.4","MOND","false"
"MOND2","Segment MOND2","Segment MOND2","00103SC0012,00103SC0015,00103SC0017,00103SC0032,00103SC0115,00103SC0118,00103SC0119","2152,2153","MOND2","MOND02","7.4","12.3404778","45.4370144","MOND02","1130.76","9.1","124.91","MOND","false"
"LUNA","Segment LUNA","Segment LUNA","00006SC0063,00006SC0110","2080","LUNA","LUNA01","5.6","12.3374651","45.4327571","LUNA01","511.942","7.6","67.0","LUNA","false"
"MOND1","Segment MOND1","Segment MOND1","00103SC0006,00103SC0007,00103SC0012,00103SC0030,00103SC0107,00103SC0119","2066","MOND1","MOND01","4.6","12.3398568","45.4376402","MOND01","193.49","5.7","33.86","MOND","false"
"ZULI","Segment ZULI","Segment ZULI","00103SC0028","2139,2140,2141,2142","ZULI","ZULI01","4.6","12.339165","45.4361975","ZULI01","1656.5","8.6","193.19","ZULI","false"
"GHET","Segment GHET","Segment GHET","00101SC0002,00101SC0005,00101SC0006,00101SC0007,00101SC0012,00101SC0018","2440,2441,2442","GHET","GHET01","5.2","12.32699","45.4451068","GHET01","1687.39","8.6","196.29","GHET","false"
"MALA01","Segment MALA01","Segment MALA01","","",,,"11.6",,,,"11194.06","15.3","729.63","MALA","false"
"MALA02","Segment MALA02","Segment MALA02","","",,,"13.4",,,,"931.846","16.4","56.79","MALA","false"
"GIAR3","Segment GIAR3","Segment GIAR3","00003SC0115,00413SC0006,00413SC0007,00413SC0008,00413SC0009","2181,2487","GIAR3","GIAR03","11.8","12.3592993","45.4291379","GIAR03","6396.94","17.8","359.21","GIAR","false"
"GESU1","Segment GESU1","Segment GESU1","","2055","GESU1","GESU01","16.2","12.3394723","45.4430019","GESU01","2329.79","18.1","128.39","GESU","false"
"GESU2","Segment GESU2","Segment GESU2","00189SC0007,00189SC0008,00189SC0009,00189SC0016,00189SC0018","2056","GESU2","GESU02","8.0","12.3391258","45.4421659","GESU02","455.708","10.4","44.03","GESU","false"
"2FIS","Segment 2FIS","Segment 2FIS","00346SC0002,00346SC0004,00346SC0012","3009","2FIS","FIS002","4.4","12.3145506","45.425946","FIS002","1225.3","11.3","108.37","2FIS","false"
