"!!id","!!type","zoom","ID","ID del rio","superficie (m2)","Y","X","jobs","jobItems"
"IE0005","intersezioni","50.0000000000993","IE0005","","320","5036260.64462426","2310760.46467172","[00232, 00179, II519]","[00179SC0002]"
"IE0010","intersezioni","50.0000000002775","IE0010","MORO","35","5036218.52183949","2310573.69579072","[]","[]"
"IE0015","intersezioni","50.0000000002725","IE0015","ZECC","4","5036213.00278484","2311280.2823216","[]","[]"
"IE0025","intersezioni","49.9999999999284","IE0025","CANN","17","5036107.44086658","2310303.6647175","[]","[]"
"IE0100","intersezioni","49.999999999746","IE0100","CMIS","5","5035877.99016923","2311730.42756765","[]","[]"
"IE0115","intersezioni","50.0000000001282","IE0115","CREA","13","5035838.96685356","2310199.28392838","[]","[]"
"IE0175","intersezioni","50.0000000000887","IE0175","GESU","8","5035688.02270881","2311959.79647689","[]","[]"
"IE0220","intersezioni","108.959732430944","IE0220","GRAN","160","5035606.70164756","2310013.72708535","[232/1, 00232, 00517]","[]"
"IE0275","intersezioni","50.0000000000405","IE0275","PANA","2","5035551.3261236","2312117.45616322","[]","[]"
"IE0305","intersezioni","49.999999999968","IE0305","MEND","6","5035498.14523297","2312179.72345185","[]","[]"
"IE0430","intersezioni","49.9999999997105","IE0430","GIUS","6","5035264.89518643","2312448.85568587","[]","[]"
"IE0520","intersezioni","49.9999999999301","IE0520","CELE","3","5035141.5363166","2312742.4792252","[]","[]"
"IE0570","intersezioni","50.0000000000753","IE0570","GALE","2","5035101.07324753","2312883.06096748","[]","[]"
"IE0810","intersezioni","69.4365867879643","IE0810","DNUO","56","5034830.50959626","2313453.14345062","[00232]","[]"
"IE0895","intersezioni","49.9999999998411","IE0895","PIER","17","5034760.98150193","2313477.98528688","[]","[]"
"IE1035","intersezioni","50.0000000002208","IE1035","GREC","3","5034594.13008196","2312288.68089962","[]","[]"
"IE1040","intersezioni","49.9999999998967","IE1040","PIET","1","5034583.2319487","2312363.53193639","[]","[]"
"IE1045","intersezioni","50.0000000002384","IE1045","VIN","1","5034582.37209598","2312126.5517563","[]","[]"
"IE1065","intersezioni","50.0000000000293","IE1065","CANO","4","5034562.67546982","2312026.80534882","[]","[]"
"IE1095","intersezioni","49.999999999702","IE1095","DIO","3","5034529.04123104","2312564.10500761","[]","[]"
"IE1110","intersezioni","50.0000000000666","IE1110","LUNA","1","5034509.93450384","2311871.43811475","[]","[]"
"IE1150","intersezioni","90.7322521142809","IE1150","QUIN","74","5034464.33732055","2313624.18260195","[00232]","[]"
"IE1155","intersezioni","52.1042634103528","IE1155","SCOM","38","5034461.97272478","2309550.23951131","[]","[]"
"IE1165","intersezioni","49.99999999998","IE1165","LUNA","1","5034460.90290247","2311752.42851217","[]","[]"
"IE1180","intersezioni","50.0000000003547","IE1180","ARSE","7","5034439.51656574","2312669.05478675","[]","[]"
"IE1225","intersezioni","50.0000000000321","IE1225","NICO","3","5034386.29568197","2310031.02783628","[]","[]"
"IE1240","intersezioni","49.9999999999515","IE1240","TANA","5","5034368.60871157","2312760.01071225","[]","[]"
"IE1250","intersezioni","178.402354834622","IE1250","GRAN","1","5034363.1896632","2311691.39775243","[]","[]"
"IE1295","intersezioni","50.0000000000456","IE1295","SEBA","5","5034322.46661527","2310408.55677414","[]","[]"
"IE1335","intersezioni","50.0000000000253","IE1335","TROV","3","5034179.25114668","2310802.12463085","[]","[]"
"IE1340","intersezioni","49.9999999998217","IE1340","ISEP","5","5034152.10579641","2313068.78257751","[]","[]"
"IE1345","intersezioni","50.0000000000067","IE1345","SALU","4","5034134.87874724","2311523.78527151","[]","[]"
"IE1355","intersezioni","71.5184463481172","IE1355","LAVR","31","5034091.53617829","2310238.00812351","[]","[]"
"IE1360","intersezioni","49.9999999999412","IE1360","VIO","2","5034086.26707394","2311046.76555953","[]","[]"
"IE1365","intersezioni","49.9999999999248","IE1365","","2","5034081.45789771","2311460.32227946","[]","[]"
"IE1370","intersezioni","50.0000000000473","IE1370","TORE","1","5034058.14189151","2311120.23947582","[]","[]"
"IE1375","intersezioni","114.027075675716","IE1375","SACB","90","5034055.61734396","2309731.96972419","[]","[]"
"IE1380","intersezioni","49.9999999997987","IE1380","BIAG","1","5034036.44560788","2310399.5271516","[]","[]"
"IE1385","intersezioni","112.454068657049","IE1385","GIOR","80","5034036.47061989","2312072.61289278","[]","[]"
"IE1390","intersezioni","49.9999999999151","IE1390","FORN","2","5034035.38578941","2311369.3746002","[]","[]"
"IE1395","intersezioni","50.0000000001203","IE1395","ELEN","6","5033989.04372735","2313722.95606485","[]","[]"
"IE1405","intersezioni","50.000000000434","IE1405","EUFE","1","5033911.57699665","2310626.94995047","[]","[]"
"IE1430","intersezioni","50.0000000000928","IE1430","GIAR","8","5033845.15837351","2313399.29975332","[]","[]"
"IE1440","intersezioni","50.0000000000946","IE1440","PPIC","1","5033806.16505269","2310889.91400398","[]","[]"
"IE1445","intersezioni","50.0000000002489","IE1445","SACF","6","5033797.25657863","2310077.74273403","[]","[]"
"IE1450","intersezioni","64.8384639867949","IE1450","LAVR","33","5033788.74804859","2310122.51132679","[]","[]"
"IE1455","intersezioni","50.0000000001042","IE1455","SACB","12","5033781.03935649","2309584.79955006","[]","[]"
"IE1465","intersezioni","50.0000000000496","IE1465","2FIS","2","5033751.95433846","2309943.32917224","[]","[]"
"IE1470","intersezioni","49.9999999999073","IE1470","PLON","8","5033749.56474777","2311056.23223266","[]","[]"
"IE1475","intersezioni","50.0000000001604","IE1475","1FIS","6","5033723.30924509","2309829.9599914","[]","[]"
"IE1480","intersezioni","50.0000000000733","IE1480","BIAG","10","5033703.93256413","2310252.01032928","[]","[]"
"IE1485","intersezioni","49.9999999999502","IE1485","CINI","14","5033689.46504226","2312211.17457704","[]","[]"
"IE1500","intersezioni","73.9869853470228","IE1500","GIOR","28","5033636.77407577","2312030.0088851","[]","[]"
"IE1515","intersezioni","50.000000000221","IE1515","","1","5034125.04043245","2310936.88453433","[]","[]"
"IE1525","intersezioni","49.9999999998814","IE1525","EUFE","1","5033558.67744491","2310505.689127","[]","[]"
"IE1530","intersezioni","50.0000000000831","IE1530","ELEN","3","5033531.98201757","2313774.6269471","[]","[]"
"IE1535","intersezioni","53.306795110166","IE1535","PPIC","17","5033515.34986882","2310720.00450641","[]","[]"
"IE1540","intersezioni","50.0000000001121","IE1540","PLON","15","5033486.79975685","2310952.14830788","[]","[]"
"IE1545","intersezioni","49.9999999999242","IE1545","CROC","5","5033437.71816405","2311382.1974894","[]","[]"
"IE5045","intersezioni","181.973730291195","IE5045","CGRA","94","5037342.2844293","2312461.37632096","[]","[]"
"IE5050","intersezioni","50.0000000001682","IE5050","CTIA","6","5037554.5229955","2312493.49253181","[]","[]"
"IE5055","intersezioni","50.000000000253","IE5055","DEMU","1","5037676.76205714","2313217.35491548","[]","[]"
"IE5060","intersezioni","49.9999999998464","IE5060","CTEO","7","5037440.90245759","2313621.86551999","[]","[]"
"IE5065","intersezioni","116.951533885215","IE5065","CGRA","69","5036752.14044067","2313283.6174277","[]","[]"
