"!!id","!!type","larghezza media (m)","zoom","fondo cementificato","ID","ID del rio","ID intersezione Nord","larghezza minima (m)","superficie (m2)","ID intersezione Sud","Y","X","lunghezza (m)","jobs","jobItems"
"2TOR01","segmenti","5.8 m","50.0000000001031","no","2TOR01","2TOR","II0485","5.4 m","107.022","II0490","5035185.75874173","2311174.09560841","18.39","[00003, 232/1, 00114, 00159, 00517, 00187, II509]","[00003SC0072, 00114SC0002, 00114SC0008, 00114SC0009, 00114SC0011, 00114SC0012, 00187SC0007]"
"2TOR02","segmenti","5.9 m","50.0000000001015","no","2TOR02","2TOR","II0490","3.6 m","291.769","II0505","5035167.79181929","2311141.75389129","49.32","[232/1, 00102, 00517, 00187, II509]","[00102SC0001, 00102SC0002, 00102SC0021, 00187SC0007]"
"ACCA01","segmenti","5.1 m","49.9999999999337","no","ACCA01","GRAN","II1190","4.9 m","83.5462","II1215","5034399.75337679","2311012.85705838","16.6","[00009, 232/1, 00517]","[00009SC0127]"
"ACCA02","segmenti","7.2 m","50.0000000001477","no","ACCA02","GRAN","II1220","7.1 m","75.9319","II1260","5034360.78005255","2311068.62631718","10.49","[232/1, 00517]","[]"
"ACQU01","segmenti","8.2 m","84.7226536522816","no","ACQU01","ACQU","II0215","6.6 m","537.834","II0270","5035585.81022808","2311746.40033398","65.32","[00232, 00448, 00189]","[00448SC0005, 00189SC0006, 00189SC0007, 00189SC0009, 00189SC0010, 00189SC0015, 00189SC0017]"
"ACQU02","segmenti","10.9 m","56.1402759619313","no","ACQU02","ACQU","II0270","10.6 m","448.021","II0295","5035532.76930827","2311719.96712676","41.04","[00112, 00232, 00448, 00189]","[00112SC0001, 00112SC0012, 00448SC0005, 00189SC0009, 00189SC0017]"
"ACQU03","segmenti","11.3 m","74.9709163236564","no","ACQU03","ACQU","II0295","9.2 m","602.438","II0325","5035488.26693419","2311700.06067476","53.45","[00112, 00232]","[00112SC0001, 00112SC0009, 00112SC0012]"
"AGOS01","segmenti","11.7 m","168.694781385549","no","AGOS01","AGOS","II0475","6.4 m","1523.22","II0580","5035149.20004301","2311018.46385662","130.1","[232/1, 00102, 00517]","[00102SC0006, 00102SC0007, 00102SC0008, 00102SC0012]"
"ALBO01","segmenti","6.4 m","222.833199416421","si","ALBO01","ALBO","II1090","4.6 m","1073.33","II1275","5034460.44799417","2311431.95908165","168.91","[00099, 00232]","[00099SC0008, 00099SC0010]"
"ALVI01","segmenti","15.2 m","456.758764209985","no","ALVI01","ALVI","IE0005","9.4 m","7142.44","II0035","5036166.36124933","2310984.24352069","468.72","[00156, 00320, 00232, 00468, 00179, II519]","[00320SC0022, 00179SC0002, 00179SC0005, 00179SC0007]"
"AMAL01","segmenti","5.6 m","49.9999999997122","no","AMAL01","AMAL","II0635","5.2 m","143.189","II0640","5035033.31485389","2311067.85941733","25.7","[232/1, 00102, 00517]","[00102SC0004, 00102SC0005, 00102SC0013, 00102SC0023]"
"AMAV01","segmenti","31.3 m","173.176370481705","no","AMAV01","AMAV","IE5185","20.5 m","5326.88","","5029193.40527069","2312295.25162327","170.36","[]","[]"
"ANA001","segmenti","11.5 m","77.163388249939","no","ANA001","ANA","II1175","9.8 m","854.584","II1195","5034434.55242752","2313333.63483804","74.33","[00160, 00232, II497, 00218, 00220]","[]"
"ANA002","segmenti","8.1 m","102.889096996582","no","ANA002","ANA","II1195","6 m","824.193","II1200","5034421.70462375","2313241.03798334","101.44","[00160, 00232, II497, 00218, 00220]","[]"
"ANA003","segmenti","8.7 m","49.9999999996958","no","ANA003","ANA","II1200","8 m","207.095","II1205","5034418.04024443","2313166.96220097","23.66","[00160, 00232, II497, 00218, 00220]","[]"
