"!!id","!!type","ID dell'isola","dissesto","zoom","primo rilevatore","presenza porta d'acqua","n° anelli acciaio su pav","n° anelli ferro","estensione degrado","estensione dissesto","ID del segmento","tipologia","degrado","ragione giuridica","ID","sovrastruttura","Y","n° anelli ferro su pav","X","note","materiale","scarichi fognari","n° anelli anelli mancanti","n° anelli acciaio","scarichi pluviali","progressivo","lunghezza (m)","jobs","jobItems"
"2POZACQU02000002","sponde","2POZ","assente","49.9999999999312","Plotting","si","0","0","generalizzata","nulla","ACQU02","sponda","medio","privata","2POZACQU02000002","non rilevato","5035522.27110044","0","2311708.97087536","","mattoni","2","0","0","2","000002","13.86","[00112, 00232]","[00112SP0214, 00112SP0217, 00112SP0218]"
"2POZACQU02000003","sponde","2POZ","assente","50.0000000001546","Plotting","si","0","0","generalizzata","nulla","ACQU02","sponda","leggero","privata","2POZACQU02000003","non rilevato","5035534.93893057","0","2311715.14730221","","mattoni","1","0","0","0","000003","14.32","[00112, 00232, 00448]","[00112SP0217, 00112SP0218, 00112SP0219]"
"2POZACQU02000004","sponde","2POZ","assente","49.9999999996016","Plotting","si","0","0","generalizzata","nulla","ACQU02","sponda","leggero","privata","2POZACQU02000004","non rilevato","5035547.42679152","0","2311720.9608949","","pietra","0","0","0","1","000004","13.22","[00003, 00112, 00232, 00448, 00189, II502]","[00112SP0218, 00112SP0219, 00448SP0002]"
"2POZACQU03000005","sponde","2POZ","assente","49.9999999998382","Plotting","si","0","0","nulla","nulla","ACQU03","sponda","assente","privata","2POZACQU03000005","non rilevato","5035480.0383345","0","2311687.41522813","","composito","0","0","0","1","000005","13.61","[00003, 00112, 00232]","[00112SP0204, 00112SP0208, 00112SP0209]"
"2POZACQU03000006","sponde","2POZ","assente","49.9999999998575","Plotting","no","0","0","generalizzata","nulla","ACQU03","sponda","medio","privata","2POZACQU03000006","non rilevato","5035490.60652428","0","2311692.89072536","","composito","2","0","0","3","000006","10.2","[00112, 00232]","[00112SP0208, 00112SP0209, 00112SP0212]"
"2POZACQU03000007","sponde","2POZ","leggero","49.9999999999564","Plotting","si","0","0","generalizzata","puntuale","ACQU03","sponda","medio","privata","2POZACQU03000007","non rilevato","5035499.92492813","0","2311697.64880051","","mattoni","3","0","0","1","000007","10.88","[00112, 00232]","[00112SP0209, 00112SP0212, 00112SP0213]"
"2POZACQU03000008","sponde","2POZ","assente","50.0000000002923","Plotting","no","0","0","generalizzata","nulla","ACQU03","sponda","medio","privata","2POZACQU03000008","non rilevato","5035509.20333883","0","2311702.3079209","","mattoni","5","0","0","1","000008","10.13","[00112, 00232]","[00112SP0212, 00112SP0213, 00112SP0214]"
"2POZACQU03000009","sponde","2POZ","assente","49.9999999999122","Plotting","no","0","0","generalizzata","nulla","ACQU03","sponda","leggero","privata","2POZACQU03000009","non rilevato","5035514.91236093","0","2311705.21059413","","mattoni","2","0","0","0","000009","2.67","[00112, 00232]","[00112SP0213, 00112SP0214, 00112SP0217]"
"2POZANDR02000010","sponde","2POZ","assente","50.0000000000324","Plotting","no","0","0","generalizzata","nulla","ANDR02","sponda","leggero","privata","2POZANDR02000010","non rilevato","5035556.0853084","0","2311715.88946297","","pietra","0","0","0","0","000010","16.56","[00003, 00112, 00232, 00448, 00189, II502]","[00112SP0219, 00448SP0002, 00448SP0004]"
"2POZANDR02000011","sponde","2POZ","assente","49.9999999999894","Plotting","no","0","0","nulla","nulla","ANDR02","riva d'acqua","assente","pubblica","2POZANDR02000011","non rilevato","5035558.96481517","0","2311707.3793528","","pietra","1","0","0","2","000011","1.36","[00003, 00112, 00232, 00448]","[00448SP0002, 00448SP0004, 00448SP0005]"
