"!!ID","!!IDName","!ImageUrl","Dati Generali_Data fine","Dati Generali_Data inizio","Dati Generali_Descrizione","Dati Generali_Durata","Dati Generali_Famiglia","Dati Generali_Stato","Dati Generali_Zona","Intervento_Importo lavori effettivo","Intervento_Importo lavori effettivo (dl)","Intervento_Importo lavori previsto","Intervento_Tipologia intervento","Segnalazione_Tipologia elemento","Sopralluogo_Tipologia anomalia","Sopralluogo_Tipologia elemento"
"8225","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/11198/360/220/","2010-02-26","2010-02-22","San Marco, 75/A sotto portico ala napoleonica","4 giorni","Venezia Nord","risolto","San Marco","","",,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"8224","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/11194/360/220/","2010-03-10","2010-02-22","Dorsoduro, 966 e 967","16 giorni","Venezia Sud","risolto","Dorsoduro",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"16903","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/17709/360/220/","2010-07-28","2010-07-19","Castello, 2567 - Fondamenta delle Gorne.","9 giorni","Venezia Nord","risolto","Castello",,,"","elementi di arredo","muri di sponda","lesione","muro di sponda"
"33548","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22121/360/220/","2012-08-10","2012-08-07","Murano - Fondamenta Navagero","2 giorni","Venezia Nord 2012","risolto","Murano",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"29503","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/28716/360/220/","2011-02-18","2011-02-01","Santa Croce - Piazzale Roma","17 giorni","Venezia Sud","risolto","Santa Croce",,,,"pavimentazione","pavimentazione","lesione","caditoia"
"3280","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5113/360/220/","2009-04-29","2009-04-24","Cannaregio, 1384 - Calle della Masena","5 giorni","Venezia Nord","risolto","Cannaregio",,,,"altri interventi","fognatura","malfunzionamento","rete nera, mista o pluviale"
"34229","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24188/360/220/","2012-12-21","2012-12-19","San Marco 2488/A calle Gritti o del Campanile","2 giorni","Venezia Nord 2012","risolto","San Marco",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"8223","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/11190/360/220/","2010-02-22","2010-02-20","San Polo, 2878","2 giorni","Venezia Sud","risolto","San Polo",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"34227","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24139/360/220/",,"2012-12-19","Santa Croce Piazzale Roma fermate Bus A1-A7",,"Venezia Sud 2012","in corso","Santa Croce",,,,,"pavimentazione",,
"33542","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22050/360/220/",,"2012-08-06","San Marco 367 - Calle Larga san Marco",,"Venezia Nord 2012","in corso","San Marco",,,,"fognatura - reti fognarie","pavimentazione","intervento migliorativo","pavimentazione stradale"
"22523","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/307/360/220/","2010-10-22","2010-10-19","San Marco","3 giorni","Venezia Nord","risolto","San Marco",,"",,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"34228","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24184/360/220/","2013-01-08","2012-12-19","Giudecca 492/M FONDAMENTA DEI SCORZERI","19 giorni","Venezia Sud 2012","risolto","Giudecca",,,,"muri di sponda","pavimentazione","lesione","muro di sponda"
"33541","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/21992/360/220/","2012-08-24","2012-08-03","Dorsoduro, fta Zattere al ponte lungo 1386","20 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"pavimentazione","pavimentazione","lesione","pavimentazione stradale"
"34225","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24131/360/220/","2013-01-11","2012-12-19","Murano-calle del paradiso civ. 6","23 giorni","Venezia Nord 2012","risolto","Murano",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
