"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319004300_","Store location - 0319004300_","","CS","Castello","Ruga Giuffa Santa Apollonia","4300","CS4300","Ruga Giuffa Santa Apollonia 4300","","45.4350021","12.3408626"
"0319004523_","Store location - 0319004523_","","CS","Castello","Salizada San Provolo","4523","CS4523","Salizada San Provolo 4523","","45.43497977","12.34168944"
"0319004533_","Store location - 0319004533_","","CS","Castello","Calle De Le Rasse","4533","CS4533","Calle De Le Rasse 4533","","45.43471898","12.34180248"
"0319004537_","Store location - 0319004537_","","CS","Castello","Calle De Le Rasse","4537","CS4537","Calle De Le Rasse 4537","","45.4345418","12.34178391"
"0319004925A","Store location - 0319004925A","0319004925_;0319004924_","CS","Castello","Salizada Zorzi","4925A","CS4925A","Salizada Zorzi 4925A","Castello Ruga Giuffa 4925;Castello Ruga Giuffa 4924","45.43605112","12.34258771"
"0319005226_","Store location - 0319005226_","","CS","Castello","Calle Longa Santa Maria Formosa","5226","CS5226","Calle Longa Santa Maria Formosa 5226","","45.43763816","12.34171189"
"0319005413_","Store location - 0319005413_","","CS","Castello","Salizada San Lio","5413","CS5413","Salizada San Lio 5413","","45.43697893","12.33963091"
"0319005414A","Store location - 0319005414A","","CS","Castello","Salizada San Lio","5414A","CS5414A","Salizada San Lio 5414A","","45.43701304","12.33958481"
"0319005469_","Store location - 0319005469_","","CS","Castello","Salizada San Lio","5469","CS5469","Salizada San Lio 5469","","45.43712792","12.33941478"
"0319005605_","Store location - 0319005605_","","CS","Castello","Calle Al Ponte Sant'Antonio","5605","CS5605","Calle Al Ponte Sant'Antonio 5605","","45.43754337","12.33816332"
"0319005606_","Store location - 0319005606_","","CS","Castello","Calle Al Ponte Sant'Antonio","5606","CS5606","Calle Al Ponte Sant'Antonio 5606","","45.43754848","12.3381393"
"0319005705_","Store location - 0319005705_","","CS","Castello","Salizada San Lio","5705","CS5705","Salizada San Lio 5705","","45.43729516","12.33917665"
"0319006341_","Store location - 0319006341_","","CS","Castello","Salizada San Zanipolo","6341","CS6341","Salizada San Zanipolo 6341","","45.43878707","12.34238499"
"0319006365_","Store location - 0319006365_","","CS","Castello","Salizada San Zanipolo","6365","CS6365","Salizada San Zanipolo 6365","","45.43881893","12.34243152"
"0319000994_","Store location - 0319000994_","","CS","Castello","Fondamenta Sant'Anna","994","CS994","Fondamenta Sant'Anna 994","","45.43246783","12.3564975"
"0319002249_","Store location - 0319002249_","0319002250_","CS","Castello","Calle Del Tagiapiera","2249","CS2249","Calle Del Tagiapiera 2249","Castello Campiello Del Tagiapiera 2250","45.43371451","12.34960159"
"0319004867_","Store location - 0319004867_","","CS","Castello","Ruga Giuffa","4867","CS4867","Ruga Giuffa 4867","","45.4365962","12.34206253"
"0319004945_","Store location - 0319004945_","","CS","Castello","Salizada Zorzi","4945","CS4945","Salizada Zorzi 4945","","45.43603373","12.34263718"
"0319005274_","Store location - 0319005274_","","CS","Castello","Calle De Le Bande","5274","CS5274","Calle De Le Bande 5274","","45.43665231","12.34003357"
"0319006416_","Store location - 0319006416_","","CS","Castello","Barbaria De Le Tole","6416","CS6416","Barbaria De Le Tole 6416","","45.43864571","12.3431652"
"0319006473_","Store location - 0319006473_","","CS","Castello","Calle Del Cafetier","6473","CS6473","Calle Del Cafetier 6473","","45.4385115","12.344594"
"0319006482_","Store location - 0319006482_","0319006481A;0319006483_;0319006491_","CS","Castello","Calle Del Cafetier","6482","CS6482","Calle Del Cafetier 6482","Castello Calle Del Cafetier 6481 A;Castello Calle Del Cafetier 6483;Castello Campo De Santa Giustina Detto De Barbaria 6491","45.43845469","12.34500694"
"0319000996A","Store location - 0319000996A","","CS","Castello","Fondamenta Sant'Anna","996A","CS996A","Fondamenta Sant'Anna 996A","","45.43245797","12.35633592"
"0319001639_","Store location - 0319001639_","","CS","Castello","Via Garibaldi","1639","CS1639","Via Garibaldi 1639","","45.43199092","12.35153014"
"0319001649_","Store location - 0319001649_","","CS","Castello","Via Garibaldi","1649","CS1649","Via Garibaldi 1649","","45.43208677","12.35096007"
"0319001739_","Store location - 0319001739_","","CS","Castello","Via Garibaldi","1739","CS1739","Via Garibaldi 1739","","45.43222754","12.35201203"
"0319003456_","Store location - 0319003456_","","CS","Castello","Salizada Dei Greci","3456","CS3456","Salizada Dei Greci 3456","","45.43556382","12.34559687"
"0319003467_","Store location - 0319003467_","","CS","Castello","Salizada Dei Greci","3467","CS3467","Salizada Dei Greci 3467","","45.4355699","12.3458007"
