"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0319001741_","Store 0319001741_ - (Passionata, 2004)","Passionata","Accessories","46.42","46.42.1","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000708_","Store 1600000708_ - (2004)","","Accessories","46.42","46.42.1","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001279_","Store 1600001279_ - (Baroncelli, 2004)","Baroncelli","Accessories","46.42","46.42.1","","","","","","","","","1970","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001292_","Store 1600001292_ - (Cravatte and Accessori, 2004)","Cravatte and Accessori","Accessories","46.42","46.42.1","","","","","","","","","1950","2004","2004","2004","https://lh3.googleusercontent.com/-hOMo4GgHCDo/UJko56UCFpI/AAAAAAAAB_w/Ej9eEnu1xlw/s640/SM1292.JPG?gl=US","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001337_","Store 1600001337_ - (Bottega Veneta, 2004)","Bottega Veneta","Accessories","46.42","46.42.1","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001461_","Store 1600001461_ - (Hogan, 2004)","Hogan","Accessories","46.42","46.42.1","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001860_","Store 1600001860_ - (2004)","","Accessories","46.42","46.42.1","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001894_","Store 1600001894_ - (Zecca Dello Stato, 2004)","Zecca Dello Stato","Accessories","46.42","46.42.1","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003716A","Store 1600003716A - (2004)","","Accessories","46.42","46.42.1","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003803_","Store 1600003803_ - (2004)","","Accessories","46.42","46.42.1","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
